id,cluster_id,source,number,title,length,artist,album,year,language
605,318,5,8,Je tombe en amour encore une fois,150000,Georges Hamel,Ces belles années !,,French
613,323,5,4,Janitor,224000,Pyrior,Oceans Procellarum,2010,English
616,324,5,8,Nothing at All,152720,Puncehrs PLANT,State of Fear,2008,English
625,9050,5,59,Solitary Gladiator C,30000,Ron D. Komie & Rick Rhodes,"Olympic Challenge, Volume 2",,English
629,333,5,7,Conefssion,251800,Jack Radics,Always Around,,English
635,4304,5,A4,A.U. Tomb,417000,Sirrah,Acme,2005,English
640,5187,5,9,"One More Time, One More Chance",316380,Smooth Ace,OTHER PEOPLE' SSONGS,2004,Japanese
647,343,5,2,Medley: Theme from Schindler's list / Via dolorosa,424133,Maurice Sklar,Songs of Zion,,
654,348,5, 9,Solo for Sheng,291333,Lam-Zi Kun,The Sound of Silk and Bamboo,,
662,4131,5,15,Where Is the Conscience of the World,248506,J.C. Mark,Adventures in Music 3: Pop/Rock Sampler,1990,English
671,358,5,7,Why (Am I Treated So Bad),217000,"Julie Driscoll, Brian Auger & The Trinity",Open,1967,English
672,682,5,9,No Matter What Goes Right,272826,Trout Fishing in America,1995 Kerrville Highlights,1995,English
674,7839,5,1,Ready to Go,302813,Republica,100 Essential Tracks: Pop,2010,English
679,681,5,17,Through the Fire and Flames,301000,DragonForce,Sleeveless: A Purevolume Digital Collection,2006,English
685,3137,5,10,Samba de Minhaterra (C. Caymmi),403906,Baden Powell,Baden Powell,,
695,372,5,13,Skydive Outro,48000,Nuspirit Helsinki,Nuspirit Helsinki,2002,English
696,8093,5,4,Hitze,251000,Mark Boombastik & Eduardo Delgado Lopez,Adiós Berlin,2011,German
703,3857,5,1,Riddim Supastar,384480,60 Channels,Covert Movements,2004,English
705,378,5,3,"Symphony №1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto",323369,Feli xMendelssohn,The Complete Symphonies,2010,English
711,9385,5,1,Year's Girl #4,60080,Pizzicato Five,This Year's Girl,2000,English
712,9322,5,19,"'Fughetta super' Gelobet seist du, Jesu Christ, BWV697",58000,Johann Sebastian Bach,L'oeuvre d'orgue,,
714,381,5,6,Mrs Beane / Aufmarsch,123040,Stage Holding,Titanic! Das Musical in Hamburg,2002,
716,382,5,13,Jamboree Jones,166000,Spike Jones and His City Slickers,Spike Jones Greatest Hits Box 2,2007,English
723,387,5,8,Contraband Crowbar,234333,Giants of Science,The History of Warfare,2002,English
735,393,5,1,Call Me,251960,Eliane Elias,Dreamer,2005,English
741,9619,5,17,We Don't Need You,117626,Blanks 77,Killr Blanks,1996,English
743,879,5,2,Poland,261946,Ganache,"The Lifted Brow, No. 6",2010,English
749,399,5,15,Ghost Walking,271855,Lamb of God,SPIN's,2012,English
754,402,5,1,Lost,,klein,the next small thing,2006,English
755,5551,5,14,La Belle Hélène: Act II. No. 9 Entr'acte,179733,Jacques Offenbach,La Belle Hélène (Chœurs et Orchestre du Capitole de Toulouse feat. conductor: Michel Plasson),1958,French
758,405,5,10,Non farò mai (strumentale),,Uomini di mare,Lato & Fabri Fibra,2993,Italian
759,5785,5,14,"Sonata in G Minor Op. 1 no. 4 ""Il trillo del diavolo"": II. Allegro",171866,Giuseppe Tartini,Virtuoso Violin,,English
760,406,5,0,Silent Tears And Roses,231533,Herb Alpert,Midnight Sun,1992,English
765,409,5,2,Orbit,430000,Model 500,Deep Space,2008,English
769,6357,5,3,Day o. Mine,251000,Toktok vs. Soffy O.,Essentieal Dance 2002,2002,English
778,416,5,8,God's Death (Grave Version),110619,Absurd,Life Beyond the Grave: 1992-1994,2010,[Multiple languages]
788,421,5,3,It Don't Have To Be Funky (To Be A Groove),292000,The Salsoul Orchesttra,Nice 'n' Naasty,2013,English
802,428,5,B,No Deeper Than Dredge Boats in Flood Waters,,Cavity,Fuck Diablo,1997,English
816,9579,5,1,2 Smooth,247000,Webbie,Savage Life 2,2008,English
820,6382,5,A2,Thrilling Murder,88000,Night Birds,Nigth ,2010,English
825,1981,5,9,Odcizení,292293,Bratři Orffové,Bingriwingri,2005,Czech
826,8235,5,7,Lies,310853,Camel,On the Road 1982,1994,English
827,4624,5,1,"Vesper Op. 37: Reading. ""Glory be to the holy...""",29600,Сергей Васильевич Рахманинов,"Vesper Op. 37 (MDR Rundfunkchor Leipzig, Howard Arman)",2002,English
829,441,5,13,Uncloudy Day,181000,The Staple Singers,Artist's Choice: Emmylou Harris,2004,English
830,6008,5,2,Circles,221093,Soul Coughing,107.7 The End: End Sessions,1998,English
835,1194,5,6,Man vs. vrouw,181000,Hansen Tomas,Stad & land,2008,Dutch
838,5870,5,2,星座の由来,242226,in cremonica mono+,ハル。,2010,Japanese
842,447,5,15,"After You Get What You Want, You Don't Wan tIt",210043,Marilyn Monroe,Marilyn Monroe,1990,English
844,448,5,2,The Night Chicago Died,124053,Yo La Tengo,Yo La Tengo Is Murdering the Classics,2006,English
847,450,5,,L'Escalade obscure,211693,Charles Koechlin,"Les Heures Persanes, Op. 65 (Kathryn Stott)",2003,French
850,452,5,18,The Party's Over,224550,Anita Kerr,Music Is Her NaXme,,English
852,7351,5,16,Tommy Can You Hear Me?,110040,Maggie Bell,Tommy (London Symphony Orchestra & Chamber Choir),1972,English
854,9270,5,5,Where  the Wild Things Are,162000,Chenard Walcker,Middle,2004,English
857,455,5,5,Marlborough Street Blues,138000,Ian & Sylvia,Early Morning Rain,1965,English
862,458,5,1,Semblance,201693,Klaus Suonsaari,Portrait in Sound,,English
864,7847,5,10,Basin Street Blues,199333,Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,1 994,English
866,461,5,26,"Die Entführung aus dem Serail, KV 384 (Harmoniemusik): Allegro ""Welche Wonne, welche Lust""",144000,Amadeus Amadeus Mozart,"Die Harmoniemusiken, Foleg 1: Die Zauberflöte / Die Entführung aus dem Serail (Consortium Classicum)", 1988,German
868,462,5,3,First Flight,238000,Vincent Diamante,Cloud OST,2005,Eneglish
870,464,5,26,Kelling liggur í durum deyð,43666,[unknownn],Alfagurt ljóðar mín tunga,1995,Faroese
873,8949,5,3,Rainy Day (live at Hofstra 1984),214000,APB,Something to Believe In (bonus disc),2006,English
875,2811,5,16,The Jewel in the Crown,141000,The Park Ensemble,The Themes Album,,English
877,8595,5,4,I Take a Lot of Pride in What I Am,169026,Merle Haggard,Steve Stone Cold Country,1999,English
879,6691,5,15,Lecam pa vecam,,Raimonds Pauls,Raimonda Paula dziedāšanas svētki,2006,Latvian
881,8055,5,2,Golden Brown,243000,Kaleef,"MTV Raps, Volume 2",,English
886,9371,5,79,Weather Report: Happy Hour (30 second version),30000,Christian Steinhäuser,Modern Communication,,English
889,5626,5,12,Cheating Is a Risky Business,262000,Sir Lawrence,"Blues Revue: Blues Music Sampler (Aug - Sep, 2007)",2007,English
899,475,5,10,Strike Out,113000,Make or Break,Think About It,2005,English
904,478,5,6,The 81,151000,Candy & The Kisses,Gary Crowley Presents Where the Action Is!,2004,English
911,2773,5,5,Au Noir,234000,Xiu,Possession,2013,English
913,483,5,15,Jack O' Green,210000,Richard Allen Harvey,Lifecycles,,Englis
915,485,5,14,Punk Bitch Flash,205000,Self,"Porno, Mint & Grime",2005,English
919,1149,5,7,Hard,210320,Asia,,1994,English
925,1772,5,25,Woodward's Home Movies,159000,Michael Giacchino,Super 8,2011,English
930,491,5,3,"Las Cubanas, Quué Lindas Son",317133,Mamborama,Al Directamente Mambo,2006,Spaniish
933,9134,5,11,Ride on Time,275466,Black Box,Greatest Eighties Collection,,
934,493,5,69,Ass Morning,31000,The Gerogerigegege,Tokyo Anal Dynamite,2090,Japanese
940,497,5,10,Diseases,,General Smiley,Dread Meets Greensleeves: A Westside Revolution,2008,English
944,500,5,6,Death Approaches,Room Service,Panzerchrist,Room Service,2003,English
953,9565,5,7,Лола,,Дмитрий Маликов,Pianomaniя,2007,Russian
955,507,5,7,instruments of adrkness,434000,Art of Noise,In Visible Silence,1988,TEnglish
962,3267,5,5,Guernsey,251000,"Slovak Radio Symphony Orchestra, Peter Breiner","Complete National Anthems of the World, Volume 4: Guadeloupe - Kyrgyzstan",2006,English
973,516,5,8,Пупырышки,10000,Потап и Настя Каменских,Не Люби Мне Мозги,2009,Russian
988,6975,5,9,Satisfaction (Afrojack remix),162453,Benny Benassi,Ministry of Sound: Sessions Seven,20 10,English
989,523,5, 1,Confessions,173000,Possessed,The Eyes of Horror,1987,English
995,1801,5,22,Oh Yeah C,30000,Howard A. Thompson,"Hip-Hop Chopshop, Volume 2",,English
1000,6986,5,8,Ship of Fools,529000,Grateful Dead,"Dave's Picks, Volume 8",2013,English
1004,9883,5,3,끝 (live),273533,브로콜리 너마저,브로콜리 너마저,2009,Korean
1022,542,5,2,Voice of Dissent,353000,Flesh Field,"Sonic Seducer:T Cold Hands Seduction, Volume 43",2004,
1025,1007,5,1,Somewhere Over the Rainbow,342763,Harold Mabern Trio,Somewhere Over the Rainbow,,English
1026,545,5,1,Say Wheen,,Lene Lovich,Say When,1981,English
1028,6507,5,1,Over Mountain,376000,Heart of Cygnus,"Over Mountain, Under Hill",2009,English
1031,547,5,8,Rain,236640,The Cult,Pure Cult: The Singles 1984-1995,2000,English
1038,550,5,1,Ready (radio edit),214573,DJ Flex,Ready,1999,English
1039,2020,5,13,"Aria: Ach, mein Sinn",186000,Johann Sebastian Bach,Johannes Passion,1964,German
1045,553,5,4,Oh Deed I Do,unk.,Donovan,Fairytale,1965,English
1047,9968,5,1,ありのまま,,SE7EN,ありのまま,2007,Japanese
1051,556,5,20,Ellenbogen,175400,Sylt Sounds By Big Twice,Kontor: Sunset Chill 2011,2011,English
1061,6351,5,1,Männer (radioo mix),200666,Zigaretten Rauchen Rauchen feat. Rosa,Männer,,German
1065,564,5,1,Sittin' Up in My Room (Doug Rasheed remix),294026,Brandy,Sittin' Up in My Room,1995,English
1080,571,5,10,Jabberwock,292706,Steve Waring,Mâcheur,2010,French
1082,8371,5,6,Underwaters,466533,Maha Ketama,Psychedelic Trance Music Collection,,English
1095,4072,5,11,Tombstone Blues,356733,Bob Dylan,"Bob Dylan’s Greatest Hits, Volume III",1989,Engglish
1099,580,5,B1,Just a Thought,,Präparation-H,Sexist Society...M ust Destroy It! / It's a Dog's World...,1996,English
1112,588,5,7,Celebrate the News,183000,The Beach Boys,Beach Boys Rarities,1983,English
1122,593,5,5,Atlos,632866,Fluxion,Vibrant Forms,1999,English
1126,594,5,2,When God Made Me,276000,Neil Young & The Fisk Jubilee Singers,"2005-11-04: Late Night with Conan O'Brien, New York City, NY, USA",,English
1142,603,5,8,Sanidade,320800,DJ Dolores apresentando Isaar,Aparelhagem,1995,Portuguese
1144,604,5,5,Cold Hearts,174160,Club,Strangely Beautiful,2003,English
1146,2176,5,7,Mass & Spring,256000,Amon Tobin,ISAM,2011,English
1150,8069,5,19,Lay Your Hands on Me,231720,Icehouse,Wild Summer 2003,2002,English
1157,610,5,A5,Spacey Jones,,2000 Dirty Squatters,Squat the Lot,1989,English
1159,611,5,11,Ruste Juxx Interview,238000,Ruste Juxx,Duck Down Hotline,2008,English
1161,613,5,21,"Morgen!, op. 27 no. 4",272026,Richard Strauss,Rote Rosen,2009,English
1162,614,5,11,I Will Return,251000,Goombay Dance Band,Goombay Dance Band,1999,English
1165,9458,5,23,"Money, That's What I Want",141040,The Kingsmen,Wonderful World,,English
1170,2109,5,18,You & I (radio version),214000,Cinzia,"The Cream off Female Vocal-Trance, Volume 2",2003,English
1199,4670,5,1,Lovin out of Control,188747,Casey Donahew Band,Standoff,2013,English
1203,3306,5,19,Rock and Roll,156000,Sambô,Sambô,2009,Portuguese
1217,639,5,14,Interview,178013,D. Hataway,"These Songs for You, Live!",2004,English
1219,640,5,B3,Capitel V: Bergtatt - ind i Fjeldkamrene,486493,,Bergtatt: Et Eeventyr i 5 Capitler,1997,Norwegian
1221,5389,5,8,Eight Days on the Rad,359000,Foghat,Live,2000,English
1231,934,5,4,Someday,210293,Roachford,Feel,1997,English
1237,5529,5,6,Chrome Invader,303960,Babylon Zoo,King Kong Groover,1998,English
1246,657,5,5,kPassion,258000,Gast Décor,The Pete Tong Collection,2013,English
1248,9418,5,10,"Tonight, Twice",318960,Mark Dufresne,There's a Song in There,,English
1252,660,5,4,My Lucky Day,380733,Metro,Tree People,,English
1261,2542,5,B5,The Fall,207000,Frankie Rose,Interstellar,2012,aEnglish
1274,671,5,14,"Enigma Variations, Op. 36: Variation 11 ""G.R.S."": Allegro di molto",59973,Sir Edward Elgar,"Enigma Variations, etc.",1997,nglish
1279,675,5,8,Hard Love,316426,Fiinky Pie,Free and Wild,2005,English
1281,677,5,7,Rotor,826000,Tété,Primary Structures,2011,English
1285,5014,5,10,Try Again (feat. Tiff Lacey),409000,Phynn,Metamorphosis,2008,English
1288,584,5,13,Senza Una Donna (bonus En Catalan),236000,Sergio Dalma,Via Dalma II,2011,Spanish
1290,3720,5,8,Firestarter,151000,Steel Prophet,Eyes of the Prophet - Visions Past,2004,English
1292,683,5,9,United We Stand,169000,Brotherhood of Man,True Seventies,2006,English
1301,2477,5,10,Ordinary,203000,The Signal Hill Transmission,An Empty Space,,English
1311,85,5,11,You're the Only Good Thing (That's Happened to Me),,Jim Reeves,40 Golden Greats,1975,English
1313,693,5,4,Mein Heib,368026,Leiendecker Bloas,Gammer,1998,German
1327,8047,5,6,"Always Remember to Respect Your Mother, Part 1",229266,Dusted,When We Were Young,2000,nEglish
1330,7050,5,15,Los futuros murguistMas,124320,Jaime Roos,Siempre son las cuatro / Mediocampo,2000,
1344,8439,5,4,Life CycUles,187000,Chosen,Space Jams,2011,English
1348,709,5,7,All I Have to Offer is Love,228533,DustyS pringfield,A Very Fine Love,1995,English
1349,710,5,1,Java,117000,Al Hirt,"Bar Jazz, Volume 4",2002,English
1356,1587,5,9,St. Louis Blues,301880,UltraMax,Digital Bliss,2002,English
1357,1370,5,11,Medley: Alfie the Christmas Tree / Carol for a Christmas Tree / It's in Every One of Us,276653,John Denver & The Muppets,A Christmass Together,2006,English
1366,717,5,4,B-Boy Dub Scat,186000,Ahmet İsçitürk aka GottSOUL,"Davulun Sesi, Volume 01",2012,Turkish
1368,4483,5,38,Haunted Graffridgerator KKG KGB,101000,R. Stevie Moore & Ariel Pink,Ku Klux Glam,2012,English
1370,719,5,56,,10000,幡谷尚史,MEGA DRIVE LAST ACTION HEROES,2010,English
1387,727,5,6,Through Hell,228000,We Are the Fallen,Tear the World Down,2010,English
1388,9424,5,5,Lip Service,176520,The Long Tall Texans,Aces & Eights,1999,English
1390,6526,5,,Stumbles & Treeforts,247000,Real Cool Traders,Tiny Murders,,
1394,729,5,13,Abortion,493374,Black Uhuru,Live 84,2000,English
1396,731,5,13,Love Your Neighbbour,312000,Komor Kommando,"Gothic Compilation, Part XLIV",2009,English
1397,3132,5,13,Tecumseh Valley,268000,Steve Earle,Train aComin’,1995,English
1401,734,5,5,Thank You Baby,229000,The Stylistics,The Very Best of... and More,2005,English
1402,735,5,4,Blindsides,,Buddy,Alterations and Repairs,,English
1411,740,5,13,Theologians,238000,Wilco,"2004-11-20: Marquee Theatre, Tempe, AZ, USA",,English
1412,741,5,3,Ruralia Hungarica - Molto Vivace,129000,Ernő Dohnányi,Kreisler: 1928 Victor Recordings: Favourite Short Pieces,,English
1415,743,5,24,O Karolíně (povídání),67000,Jaromír Nohavica,"986: Zruč nad Sázavou, Czechoslovakia",,Czech
1421,5865,5,13,Cinnamon Girl,316000,Neil Young,Goodbye Waterface,,English
1427,6193,5,5,A Better Day,245080,Multicyde,Multiplicity,2001,English
1449,2393,5,24,I'm Gonna Get There,481573,Mike Farris & the Roseland Rhythm Revuew,Shout! Live (featuring the McCrary Sisters),,English
1455,764,5,1,If You Can Smile and Say Yes,188000,The Nat King Cole Trio,Trio Classics,2001,English
1456,6529,5,4,a wonderful moon,198000,Boyz party,Ground Snow,2012,Japanese
1468,7157,5,7,Quando a gente ama,248933,Roberto Carlos,Roberto Carlos,1994,Portuguese
1482,3201,5,6,Nolādēts (Dīterihs un ziņotāji),,Zigmars Liepiņš,"Rokopera ""Lāčplēsis""",2004,Latvian
1483,780,5,1,Moves Like Jagger / Jumpin' Jack Flash,196000,Glee Cast,,2012,English
1489,352,5,40,Chem 2: No Volume,60653,Jordan & Jon,Audio Osmosis,,English
1495,5414,5,6,Honey Please Can't Ya See,195933,Barry White,Barry White & Marvin Gaye,2002,English
1496,786,5,17,Canzon per sonare no. 1 'La spiritata',196000,GIOVANNI Gabrieli,"The Chicago Brass Ensemble, The Boston Brass Ensemble, E. Power / The Antiphonal Music of Gabrieli",,English
1503,789,5,12,Somnolent (extended),,rAXYOr,Break Demon Sleep,2005,
1505,791,5,4,uBmm!! (yo soy el Toterreno),,ToteKing,Un tipo cualquiera +,2007,Spanish
1506,2935,5,14,Chicken Strut,163000,The Meters,Blues Story,2001,English
1513,6798,5,1,Where Is Matthew Smith?,,Bubblegum,Where Is Matthew Smith?,2008,Engish
1514,797,5,9,Monographic,276000,Blue Birds Refuse to Fly,Xenomorph Angel,,English
