name,address,zip,phone,website,cuisine,id,road_name,road_dir,road_number,city
applewood,"501 E 11th St,New York",10009,(718) 788-1810,http://applewoodny.com,American Restaurants;Restaurants,yellow_pages_1_216,11Th,E,501.0,new york
robataya,"231 E 9th St,New York",10003,(212) 979-9674,http://www.robataya-ny.com,Japanese Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_220,9Th,E,231.0,new york
bite,"211 E 14th St,New York",10003,(212) 677-3123,http://www.bitenyc.com,Mediterranean Restaurants;Take Out Restaurants;American Restaurants;Sandwich Shops;Bars;Vegetarian Restaurants;Breakfast Brunch & Lunch Restaurants;Bakeries;Caterers;Restaurants,yellow_pages_1_221,14Th,E,211.0,new york
p j's of little italy,"138 Mulberry St,New York",10013,(212) 226-3177,http://www.sofianyc.com;http://pellegrinos.com;http://littleitalygia.com,Italian Restaurants;Caterers;Family Style Restaurants;Mediterranean Restaurants;Restaurants,yellow_pages_1_248,Mulberry,,138.0,new york
ichibantei,"401 E 13th St,New York",10009,(646) 368-9755,,Japanese Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_260,13Th,E,401.0,new york
risotteria,"270 Bleecker St,New York",10014,(212) 924-6664,http://www.risotteria.com,Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Italian Restaurants;Restaurant Delivery Service;Restaurants,yellow_pages_1_273,Bleecker,,270.0,new york
baker & co,"259 Bleecker St Frnt B,New York",10014,(212) 255-1234,http://bakernco.com,Italian Restaurants;Bakeries;Pasta;Pizza;Restaurants,yellow_pages_1_290,Bleecker,,259.0,new york
galli,"45 Mercer St,New York",10013,(212) 966-9288,http://gallirestaurant.com,Health Food Restaurants;Sandwich Shops;Family Style Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_311,Mercer,,45.0,new york
barbalu,"225 Front St,New York",10038,(646) 918-6565,,Italian Restaurants;Take Out Restaurants;Caterers;Restaurants,yellow_pages_1_316,Front,,225.0,new york
the stanton social,"99 Stanton St,New York",10002,(212) 995-0099,http://www.thestantonsocial.com;http://stantonsocial.com,American Restaurants;Bars;Mongolian Restaurants;Night Clubs;Steak Houses;Restaurants,yellow_pages_1_346,Stanton,,99.0,new york
the spotted pig,"314 W 11th St,New York",10014,(212) 620-0393,http://www.thespottedpig.com,French Restaurants;American Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_360,11Th,W,314.0,new york
shanghai duplicate,"9 Pell St Frnt A,New York",10013,(212) 233-8888,http://www.joeshanghairestaurants.com,Family Style Restaurants;Restaurants,yellow_pages_1_362,Pell,,9.0,new york
craftsteak,"85 10th Ave,New York",10011,(212) 400-6699,http://www.craftrestaurantsinc.com/craft-new-york;http://craftrestaurantsinc.com,Seafood Restaurants;Steak Houses;Bar & Grills;Restaurants,yellow_pages_1_432,10Th,,85.0,new york
super taste chinese restaurant,"26 Eldridge St Frnt C,New York",10002,(212) 625-1198,,Chinese Restaurants;Family Style Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_444,Eldridge,,26.0,new york
pepe rosso to go,"149 Sullivan St,New York",10012,(212) 677-4555,http://www.peperossotogo.com,Italian Restaurants;Mediterranean Restaurants;Take Out Restaurants;Restaurant Delivery Service;Caterers;Restaurants,yellow_pages_1_450,Sullivan,,149.0,new york
trattoria trecolori,"254 W 47th St,New York",10036,(212) 997-4540,http://www.trattoriatrecolori.com,Italian Restaurants;Mediterranean Restaurants;Caterers;Take Out Restaurants;Restaurants,yellow_pages_1_490,47Th,W,254.0,new york
gardenia,"64 Downing St,New York",10014,(212) 604-0500,http://gardenianyc.com,Mediterranean Restaurants;Family Style Restaurants;Restaurants,yellow_pages_1_542,Downing,,64.0,new york
the cellar of amelie,"22 W 8th St,New York",10011,(212) 533-2962,,French Restaurants;Restaurants,yellow_pages_1_582,8Th,W,22.0,new york
eastwood,"221 E Broadway,New York",10002,(212) 233-0124,,Mediterranean Restaurants;Bar & Grills;Taverns;Middle Eastern Restaurants;Bars;Take Out Restaurants;Restaurants,yellow_pages_1_585,Broadway,E,221.0,new york
hill & dale,"115 Allen St # 1,New York",10002,(212) 420-1115,http://www.hillanddalenyc.com,American Restaurants;Caterers;Bars;Night Clubs;Restaurants,yellow_pages_1_590,Allen,,115.0,
houseman restaurant,"508 Greenwich St,New York",10013,(212) 641-0654,http://housemanrestaurant.com,Family Style Restaurants;Restaurants,yellow_pages_1_596,Greenwich,,508.0,new york
cafe orlin,"41 Saint Marks Pl # A,New York",10003,(212) 777-1447,,American Restaurants;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Coffee & Tea;Restaurants,yellow_pages_1_632,Saint Marks,,41.0,new york
cafe zaiya,"18 E 41st St # C,New York",10017,(212) 779-0600,http://www.zaiyany.com,Coffee Shops;Bakeries;Dessert Restaurants;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Caterers;Restaurants,yellow_pages_1_640,41Stst,E,18.0,new york
via vai pizzeria,"275 Church St Frnt A,New York",10013,(212) 925-8800,http://www.saluggispizzeria.com,Italian Restaurants;Gourmet Shops;Pizza;Restaurants,yellow_pages_1_684,Church,,275.0,new york
somtum der,"85 Avenue A,New York",10009,(212) 260-8570,http://cafetasia.com,Asian Restaurants;Dessert Restaurants;Restaurants,yellow_pages_1_726,Avenue A,,85.0,new york
sushi yasuda ltd,"204 E 43rd St,New York",10017,(212) 972-1001,http://www.sushiyasuda.com;http://www.sushiyasuda.com/home.html,Sushi Bars;Japanese Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_750,43Rd,E,204.0,new york
joe's shanghai restaurant,"9 Pell St # A,New York",10013,(212) 233-8888,http://www.joeshanghairestaurants.com;http://www.joeshanghairestaurants.com/location_eng.html,Chinese Restaurants;Asian Restaurants;Seafood Restaurants;Family Style Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_754,Pell,,9.0,new york
cowgirl seahorse,"259 Front St,New York",10038,(212) 608-7873,http://cowgirlseahorse.com,Mexican Restaurants;Family Style Restaurants;American Restaurants;Barbecue Restaurants;Seafood Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Caterers;Latin American Restaurants;Restaurants,yellow_pages_1_755,Front,,259.0,new york
shu jiao fu zhou cuisine,"118 Eldridge St,New York",10002,(212) 625-2532,,Family Style Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_760,Eldridge,,118.0,new york
casa adela,"66 Avenue C,New York",10009,(212) 473-1882,,Family Style Restaurants;Restaurants,yellow_pages_1_764,Avenue C,,66.0,new york
la esquina,"114 Kenmare St,New York",10012,(646) 613-7100,http://www.esquinanyc.com,Mexican Restaurants;Delicatessens;Latin American Restaurants;Caribbean Restaurants;Cuban Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Restaurant Delivery Service;Restaurants,yellow_pages_1_765,Kenmare,,114.0,new york
pepe rosso social,"173 Mott St,New York",10013,(212) 219-0019,http://peperossosocial.com,Italian Restaurants;Mediterranean Restaurants;Sandwich Shops;Restaurants,yellow_pages_1_791,Mott,,173.0,new york
marks,"33 Saint Marks Pl,New York",10003,(212) 677-3132,http://www.stmarksburger.com;http://simplemacrepair.com,Hamburgers & Hot Dogs;Take Out Restaurants;American Restaurants;Sandwich Shops;Restaurants,yellow_pages_1_796,Saint Marks,,33.0,new york
buddakan,"75 9th Ave,New York",10011,(212) 989-6699,http://www.buddakannyc.com;http://chelseabars.com,Chinese Restaurants;Bar & Grills;Restaurants,yellow_pages_1_811,9Th,,75.0,new york
trading post,"170 John St,New York",10038,(646) 370-3337,http://www.tradingpostnyc.com,American Restaurants;Bars;Night Clubs;Take Out Restaurants;Caterers;Restaurants,yellow_pages_1_812,John,,170.0,new york
blue hill,"75 Washington Pl Frnt A,New York",10011,(212) 539-1776,http://www.bluehillfarm.com;http://bluehillfarm.com/dine/new-york;http://www.bluehillnyc.com;http://www.bluehillfarm.com/food/blue-hill-new-york,American Restaurants;Fine Dining Restaurants;Bar & Grills;Restaurants,yellow_pages_1_813,Washington,,75.0,new york
bareburger,"535 Laguardia Pl,New York",10012,(212) 477-8125,http://www.bareburger.com,Hamburgers & Hot Dogs;American Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_820,Laguardia,,535.0,new york
freemans,"191 Chrystie St # 1R,New York",10002,(212) 420-0012,,American Restaurants;Restaurants,yellow_pages_1_831,Chrystie,,191.0,
gin lane,"355 W 14th St,New York",10014,(212) 691-0555,http://ginlanenyc.com,Breakfast Brunch & Lunch Restaurants;American Restaurants;Bar & Grills;Restaurants,yellow_pages_1_850,14Th,W,355.0,new york
sweet revenge,"62 Carmine St,New York",10014,(212) 242-2240,http://www.sweetrevengenyc.com,Take Out Restaurants;Bars;Bar & Grills;French Restaurants;Dessert Restaurants;Ice Cream & Frozen Desserts;Restaurant Delivery Service;Restaurants,yellow_pages_1_860,Carmine,,62.0,new york
ugly kitchen,"103 1st Ave,New York",10003,(212) 777-6677,http://www.theuglykitchen.com,Italian Restaurants;Bars;Night Clubs;Pizza;Restaurants,yellow_pages_1_873,1St,,103.0,new york
china blue,"135 Watts St,New York",10013,(212) 431-0111,http://chinabluenewyork.com,Chinese Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_891,Watts,,135.0,new york
sweet chick,"178 Ludlow St,New York",10002,(646) 657-0233,http://sweetchicknyc.com,American Restaurants;Restaurants,yellow_pages_1_904,Ludlow,,178.0,new york
l'artusi restaurant,"228 W 10th St,New York",10014,(212) 255-5757,http://www.lartusi.com,Family Style Restaurants;Italian Restaurants;Bars;Night Clubs;Restaurants,yellow_pages_1_910,10Th,W,228.0,new york
barrio chino,"253 Broome St,New York",10002,(212) 228-6710,http://www.barriochinonyc.com,Chinese Restaurants;Take Out Restaurants;Bars;Restaurants,yellow_pages_1_962,Broome,,253.0,new york
sole di capri,"165 Church St,New York",10007,(212) 513-1113,,Italian Restaurants;Pasta;Restaurants,yellow_pages_1_970,Church,,165.0,new york
han dynasty,"90 3rd Ave,New York",10003,(212) 390-8685,http://www.handynasty.net,Restaurants;Chinese Restaurants,yellow_pages_1_978,3Rd,,90.0,new york
beyond sushi,"229 E 14th St,New York",10003,(646) 861-2889,Beyond Sushi's official website,Restaurants;Health Food Restaurants;Japanese Restaurants;Sushi Bars;Vegetarian Restaurants,yellow_pages_1_979,14Th,E,229.0,new york
jungsik,"2 Harrison St,New York",10013,(212) 219-0900,http://www.jungsik.kr;http://www.jungsik.kr/#hello,Restaurants,yellow_pages_1_994,Harrison,,2.0,new york
pylos,"128 E 7th St,New York",10009,(212) 473-0220,http://www.pylosrestaurant.com,Family Style Restaurants;Greek Restaurants;Mediterranean Restaurants;Take Out Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1051,7Th,E,128.0,new york
juniors,"1515 Broadway,New York",10036,(212) 302-2000,http://www.juniorscheesecake.com;http://www.juniorscheesecake.com/our_restaurants/times_square;http://damageplan.net,Dessert Restaurants;Ice Cream & Frozen Desserts;Family Style Restaurants;Caterers;Restaurants,yellow_pages_1_1063,Broadway,,1515.0,new york
gg's,"511 E 5th St,New York",10009,(212) 687-3641,http://www.ggsnyc.com,Pizza;American Restaurants;Restaurants,yellow_pages_1_1082,5Th,E,511.0,new york
upstate,"95 1st Ave,New York",10003,(917) 408-3395,http://www.upstatenyc.com,Seafood Restaurants;Restaurants,yellow_pages_1_1088,1St,,95.0,new york
cuba restaurant,"222 Thompson St,New York",10012,(212) 420-7878,http://www.cubanyc.com,Cuban Restaurants;Take Out Restaurants;Latin American Restaurants;Caribbean Restaurants;Restaurants,yellow_pages_1_1092,Thompson,,222.0,new york
extra virgin,"259 W 4th St,New York",10014,(212) 691-9359,http://www.extravirginrestaurant.com,Mediterranean Restaurants;Breakfast Brunch & Lunch Restaurants;French Restaurants;Italian Restaurants;Mexican Restaurants;Restaurants,yellow_pages_1_1143,4Th,W,259.0,new york
salt bar,"29 Clinton St,New York",10002,(212) 979-8471,http://www.saltnyc.com;http://www.saltbarnewyork.com,American Restaurants;Bars;Taverns;Restaurants,yellow_pages_1_1179,Clinton,,29.0,new york
carroll place,"157 Bleecker St,New York",10012,(212) 260-1700,http://www.carrollplacenyc.com,Pizza;Bars;Italian Restaurants;American Restaurants;Restaurants,yellow_pages_1_1193,Bleecker,,157.0,new york
sushi nakazawa,"23 Commerce St,New York",10014,(212) 924-2212,http://www.sushinakazawa.com/reservations,Sushi Bars;Asian Restaurants;Japanese Restaurants;Restaurants,yellow_pages_1_1240,Commerce,,23.0,new york
grey dog s coffee carmine,"33 Carmine St,New York",10014,(212) 462-0041,http://www.thegreydog.com,Cafeterias;Take Out Restaurants;Caterers;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurants,yellow_pages_1_1272,Carmine,,33.0,new york
district tap house,"246 W 38th St,New York",10018,(212) 221-1822,http://www.districttaphouse.com,American Restaurants;Bar & Grills;Caterers;Bars;Restaurants,yellow_pages_1_1273,38Th,W,246.0,new york
adrienne's pizza bar,"54 Stone St,New York",10004,(212) 248-3838,http://www.adriennespizzabar.com,Pizza;Bars;Take Out Restaurants;Italian Restaurants;Restaurants,yellow_pages_1_1277,Stone,,54.0,new york
burger & barrell,"25 W Houston St,New York",10012,(212) 334-7320,,Hamburgers & Hot Dogs;American Restaurants;Restaurants,yellow_pages_1_1278,Houston,W,25.0,new york
nino's,"39 W 46th St,New York",10036,(212) 719-4015,http://www.ninos46.com,Italian Restaurants;Delicatessens;Pizza;Take Out Restaurants;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurant Delivery Service;Caterers;Mediterranean Restaurants;Pasta;Sandwich Shops;Restaurants,yellow_pages_1_1294,46Th,W,39.0,new york
beauty & essex,"146 Essex St,New York",10002,(212) 614-0146,http://www.beautyandessex.com,Restaurants;Seafood Restaurants,yellow_pages_1_1321,Essex,,146.0,new york
westville east,"173 Avenue A,New York",10009,(212) 677-2033,http://www.westvillenyc.com,Take Out Restaurants;Caterers;American Restaurants;Hamburgers & Hot Dogs;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Restaurant Delivery Service;Restaurants,yellow_pages_1_1339,Avenue A,,173.0,new york
daniel,"60 E 65th St,New York",10065,(212) 288-0033,http://www.danielnyc.com;http://epicerieboulud.com;http://www.danielnyc.com/daniel.html;http://mail.danielnyc.com,French Restaurants;Banquet Halls & Reception Facilities;Bars;Fine Dining Restaurants;Seafood Restaurants;Taverns;Family Style Restaurants;Restaurants,yellow_pages_1_1372,65Th,E,60.0,new york
ponty bistro,"218 3rd Ave,New York",10003,(212) 777-1616,http://www.pontybistro.com,French Restaurants;Caterers;Sandwich Shops;Seafood Restaurants;Continental Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1373,3Rd,,218.0,new york
buddha bodai,"5 Mott St,New York",10013,(212) 566-8388,http://www.chinatownvegetarian.com,Kosher Restaurants;Family Style Restaurants;Vegetarian Restaurants;Health Food Restaurants;Asian Restaurants;Chinese Restaurants;Take Out Restaurants;Caterers;Restaurants,yellow_pages_1_1403,Mott,,5.0,new york
whitman & bloom,"384 3rd Ave,New York",10016,(212) 725-4110,http://www.whitmanandbloom.com/cgi-sys/suspendedpage.cgi;http://whitmanandbloom.com,American Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1408,3Rd,,384.0,new york
12 chairs,"56 Macdougal St,New York",10012,(212) 254-8640,http://12chairscafe.com,Health Food Restaurants;Sandwich Shops;Restaurants,yellow_pages_1_1421,Macdougal,,56.0,new york
caracas restaurant,"93 1/2 E 7th St # 1,New York",10009,(212) 529-2314,http://www.caracasarepabar.com;http://www.caracasarepabar.com/index_2.php,Take Out Restaurants;Family Style Restaurants;Latin American Restaurants;Caribbean Restaurants;Cuban Restaurants;Caterers;Restaurants,yellow_pages_1_1442,1/2 E 7Th,,93.0,
boqueria,"53 W 19th St,New York",10011,(212) 255-4160,http://www.boquerianyc.com,Tapas;Spanish Restaurants;Pizza;Bar & Grills;Mediterranean Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_1452,19Th,W,53.0,new york
lets eat cantina,"173 Mott St,New York",10013,(212) 219-0019,,Mexican Restaurants;Latin American Restaurants;Italian Restaurants;Restaurants,yellow_pages_1_1463,Mott,,173.0,new york
pinto restaurant,"118 Christopher St,New York",10014,(212) 366-5455,http://www.restauranti.com;http://teerawong.net;http://pintonyc.com,Thai Restaurants;Asian Restaurants;Family Style Restaurants;Take Out Restaurants;Fine Dining Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1513,Christopher,,118.0,new york
kutsher's tribeca,"186 Franklin St,New York",10013,(212) 431-0606,,American Restaurants;Bakeries;Take Out Restaurants;Caterers;Restaurants,yellow_pages_1_1526,Franklin,,186.0,new york
distilled new york,"211 W Broadway,New York",10013,(212) 601-9514,http://www.distilledny.com,American Restaurants;French Restaurants;Caterers;Italian Restaurants;Mediterranean Restaurants;Restaurants,yellow_pages_1_1530,Broadway,W,211.0,new york
supper,"156 E 2nd St,New York",10009,(212) 477-7600,http://www.supperrestaurant.com,Italian Restaurants;Mediterranean Restaurants;Pasta;Sandwich Shops;Restaurants,yellow_pages_1_1545,2Nd,E,156.0,new york
west end pizza inc,"547 9th Ave,New York",10018,(212) 695-6900,http://www.westendnyc.com;http://capizzinyc.com;http://www.westendpizza.com,Pizza;Bars;Take Out Restaurants;Italian Restaurants;Restaurants,yellow_pages_1_1559,9Th,,547.0,new york
bobwhite counter,"94 Avenue C,New York",10009,(212) 228-2972,http://www.bobwhitecounter.com,Sandwich Shops;Chicken Restaurants;Seafood Restaurants;Restaurants,yellow_pages_1_1569,Avenue C,,94.0,new york
ostia tapas bar,"113 7th Ave S,New York",10014,(212) 924-2305,,Tapas;Spanish Restaurants;Bar & Grills;Family Style Restaurants;Restaurants,yellow_pages_1_1586,7Th,,113.0,new york
bubby's,"120 Hudson St,New York",10013,(212) 219-0666,http://www.bubbys.com,Barbecue Restaurants;Dessert Restaurants;Bars;Bar & Grills;American Restaurants;Breakfast Brunch & Lunch Restaurants;Family Style Restaurants;Caterers;Take Out Restaurants;Soul Food Restaurants;Restaurants,yellow_pages_1_1591,Hudson,,120.0,new york
becco,"355 W 46th St,New York",10036,(212) 397-7597,http://www.becco-nyc.com,Italian Restaurants;Family Style Restaurants;Mediterranean Restaurants;Seafood Restaurants;Caterers;Restaurants,yellow_pages_1_1594,46Th,W,355.0,new york
the masalawala,"179 Essex St,New York",10002,(212) 358-9300,http://www.themasalawala.com,Indian Restaurants;Middle Eastern Restaurants;Asian Restaurants;Take Out Restaurants;Caterers;Restaurants,yellow_pages_1_1618,Essex,,179.0,new york
gato,"324 Lafayette St,New York",10012,(212) 334-6400,http://www.gatonyc.com,Family Style Restaurants;Bars;Mediterranean Restaurants;Spanish Restaurants;Night Clubs;Restaurants,yellow_pages_1_1640,Lafayette,,324.0,new york
west 79 restaurant,"222 W 79th St,New York",10024,(212) 873-0200,http://www.westnyc.com,Mediterranean Restaurants;Greek Restaurants;Family Style Restaurants;Steak Houses;Restaurants,yellow_pages_1_1652,79Th,W,222.0,new york
sakagura,"211 E 43rd St,New York",10017,(212) 953-7253,http://www.sakagura.com,Restaurants;Asian Restaurants;Japanese Restaurants;Bars,yellow_pages_1_1676,43Rd,E,211.0,new york
maysville,"17 W 26th St,New York",10010,(646) 490-8240,http://www.maysvillenyc.com,American Restaurants;Bars;Caterers;Restaurants,yellow_pages_1_1684,26Th,W,17.0,new york
five points,"31 Great Jones St,New York",10012,(212) 253-5700,http://www.fivepointsrestaurant.com,Breakfast Brunch & Lunch Restaurants;American Restaurants;Mediterranean Restaurants;Family Style Restaurants;Restaurants,yellow_pages_1_1698,Great Jones,,31.0,new york
henan flavor,"68 Forsyth St,New York",10002,(212) 625-8299,,Chinese Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_1724,Forsyth,,68.0,new york
three hundred forty two restaurant,"342 E 6th St,New York",10003,(646) 895-9884,,Family Style Restaurants;Restaurants,yellow_pages_1_1734,6Th,E,342.0,new york
il corallo restaurant,"176 Prince St,New York",10012,(212) 941-7119,http://www.ilcorallotrattoria.com,Italian Restaurants;Mediterranean Restaurants;Take Out Restaurants;Caterers;Pasta;Pizza;Family Style Restaurants;Restaurant Delivery Service;Restaurants,yellow_pages_1_1738,Prince,,176.0,new york
america ootoya,"141 W 41st St,New York",10036,(212) 704-0833,http://ootoya.us,Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_1765,41St,W,141.0,new york
kori,"253 Church St,New York",10013,(212) 334-0908,http://www.korinyc.com,Korean Restaurants;Asian Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1767,Church,,253.0,new york
abc kitchen,"35 E 18th St,New York",10003,(212) 475-5829,http://www.abchome.com/systemPage/services/restaurants/abckitchen/tabid/893/Default.aspx,Restaurants;Seafood Restaurants;Home Cooking Restaurants;Mexican Restaurants;Latin American Restaurants;Continental Restaurants,yellow_pages_1_1791,18Th,E,35.0,new york
jadis restaurant,"42 Rivington St # 1,New York",10002,(212) 254-1675,http://www.restauranti.com;http://jadisnyc.com,Family Style Restaurants;Bars;Cocktail Lounges;French Restaurants;Restaurants,yellow_pages_1_1799,Rivington,,42.0,
atera,"77 Worth St,New York",10013,(212) 226-1444,http://www.ateranyc.com,American Restaurants;Bars;Cocktail Lounges;Night Clubs;Restaurants,yellow_pages_1_1824,Worth,,77.0,new york
lao di fang,"28 Forsyth St,New York",10002,(212) 941-7678,,Chinese Restaurants;Restaurants,yellow_pages_1_1846,Forsyth,,28.0,new york
luke's lobster,"93 E 7th St # A,New York",10009,(212) 387-8487,,Seafood Restaurants;Take Out Restaurants;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1859,7Thst,E,93.0,new york
hakata tonton,"61 Grove St,New York",10014,(212) 242-3699,http://www.tontonnyc.com,Asian Restaurants;Japanese Restaurants;Sushi Bars;Restaurants,yellow_pages_1_1873,Grove,,61.0,new york
tartine,"253 W 11th St,New York",10014,(212) 229-2611,http://www.tartinecafenyc.com,French Restaurants;Steak Houses;Bakeries;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1876,11Th,W,253.0,new york
naima,"513 W 27th St,New York",10001,(212) 967-4392,,Italian Restaurants;Restaurants,yellow_pages_1_1896,27Th,W,513.0,new york
cipriani le specialita,"110 E 42nd St,New York",10017,(212) 557-5088,http://www.cipriani.com;http://www.cipriani.com/en/services/event-spaces/cipriani-42nd-street,Italian Restaurants;Caterers;Mediterranean Restaurants;Sandwich Shops;Bars;Take Out Restaurants;Banquet Halls & Reception Facilities;Restaurants,yellow_pages_1_1909,42Nd,E,110.0,new york
cha an,"230 E 9th St,New York",10003,(212) 228-8030,http://www.chaanteahouse.com;http://www.chaanteahouse.com/site/index.html,Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_1943,9Th,E,230.0,new york
root & bone,"200 E 3rd St,New York",10009,(646) 682-7076,http://www.rootnbone.com,Sandwich Shops;American Restaurants;Restaurants,yellow_pages_1_1955,3Rd,E,200.0,new york
barbuto,"775 Washington St,New York",10014,(212) 924-9700,http://www.barbutonyc.com,Italian Restaurants;Mediterranean Restaurants;Bars;Breakfast Brunch & Lunch Restaurants;Restaurants,yellow_pages_1_1963,Washington,,775.0,new york
da claudio ristorante e salumeria,"21 Ann Street,New York",10038,(347) 947-6451,http://www.daclaudionyc.com,Restaurants;Italian Restaurants,yellow_pages_1_1965,Ann,,21.0,new york
risotteria melotti,"309 E 5th St,New York",10003,(646) 755-8939,http://www.risotteriamelottinyc.com,Italian Restaurants;Mediterranean Restaurants;Caterers;Restaurants,yellow_pages_1_1987,5Th,E,309.0,new york
calle ocho,"45 W 81st Street,New York",10024,(212) 873-5025,http://www.calleochonyc.com,Latin American Restaurants;Caribbean Restaurants;Cuban Restaurants;Caterers;Mexican Restaurants;Seafood Restaurants;Family Style Restaurants;Restaurants,yellow_pages_1_1990,81St,W,45.0,new york
prosperity dumpling,"46 Eldridge St # 1,New York",10002,(212) 343-0683,http://prosperitydumpling.com,Chinese Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_1993,Eldridge,,46.0,
curry-ya,"214 E 10th St,New York",10003,(866) 602-8779,http://www.nycurry-ya.com,Japanese Restaurants;Asian Restaurants;Take Out Restaurants;Bar & Grills;Restaurant Delivery Service;Restaurants,yellow_pages_1_2003,10Th,E,214.0,new york
