name,address,zip,phone,website,cuisine,id,road_name,road_dir,road_number,city
korchma taras bulba,"357 W Broadway,New York",10013.0,(212) 510-7510,tarasbulba.us,Russian;Ukrainian;Modern European,yelp_3_157,Broadway,W,357.0,new york
ichibantei,"401 E 13th St,New York",10009.0,(646) 368-9755,,Japanese;Steakhouses,yelp_3_165,13Th,E,401.0,new york
miramar,"21 S End Ave,New York",10280.0,(212) 964-3000,miramarnyc.com,Seafood;Mediterranean,yelp_3_177,End,S,21.0,new york
ponty bistro,"218 3rd Ave,New York",10003.0,(212) 777-1616,pontybistro.com,African;French,yelp_3_182,3Rd,,218.0,new york
thelma on clinton,"29A Clinton St,New York",10002.0,(212) 979-8471,thelmaonclinton.com,American (New),yelp_3_188,Clinton,,29.0,new york
sushi nakazawa,"23 Commerce St,New York",10014.0,(212) 924-2212,sushinakazawa.com,Japanese;Sushi Bars,yelp_3_189,Commerce,,23.0,new york
zutto japanese american pub,"77 Hudson St,New York",10013.0,(212) 233-3287,zuttonyc.com,Asian Fusion;Japanese;Sushi Bars,yelp_3_193,Hudson,,77.0,new york
via quadronno,"25 E 73rd St,New York",10021.0,(212) 650-9880,viaquadronno.com,Sandwiches;Italian,yelp_3_194,73Rd,E,25.0,new york
beyond sushi,"229 E 14th St,New York",10003.0,(646) 861-2889,beyondsushinyc.com,Vegetarian;Sushi Bars;Vegan,yelp_3_195,14Th,E,229.0,new york
distilled,"211 W Broadway,New York",10013.0,(212) 601-9514,distilledny.com,American (New);Bars;Breakfast & Brunch,yelp_3_200,Broadway,W,211.0,new york
lao di fang,"28 Forsyth St,New York",10002.0,(212) 941-7678,,Chinese,yelp_3_206,Forsyth,,28.0,new york
nish nush,"88 Reade St,New York",10013.0,(212) 964-1318,nishnushnyc.com,Middle Eastern;Vegetarian;Kosher,yelp_3_209,Reade,,88.0,new york
eleven madison park,"11 Madison Ave,New York",10010.0,(212) 889-0905,elevenmadisonpark.com,American (New);French,yelp_3_215,Madison,,11.0,new york
k’ook,"324 E 6th St,New York",10003.0,(212) 254-0300,kooknyc.com,Korean,yelp_3_216,6Th,E,324.0,new york
hill and dale,"115 Allen St,New York",10002.0,(212) 420-1115,hillanddalenyc.com,Bars;American (New),yelp_3_217,Allen,,115.0,new york
big wong king,"67 Mott St,New York",10013.0,(212) 964-0540,bigwongking.com,Chinese,yelp_3_224,Mott,,67.0,new york
whitman & bloom,"384 3rd Ave,New York",10016.0,(212) 725-4110,whitmanandbloom.com,American (New),yelp_3_231,3Rd,,384.0,new york
almond tribeca,"186 Franklin St,New York",10013.0,(212) 431-0606,almond.nyc,Cocktail Bars;American (New),yelp_3_234,Franklin,,186.0,new york
district tap house,"246 W 38th St,New York",10018.0,(212) 221-1822,districttaphouse.com,Sports Bars;Gastropubs;Pubs,yelp_3_235,38Th,W,246.0,new york
the grey dog,"49 Carmine St,New York",10014.0,(212) 462-0041,thegreydog.com,Coffee & Tea;Breakfast & Brunch,yelp_3_240,Carmine,,49.0,new york
benito one,"174 Mulberry St,New York",10013.0,(212) 226-9171,benitoone.com,Italian,yelp_3_247,Mulberry,,174.0,new york
l’artusi,"228 W 10th St,New York",10014.0,(212) 255-5757,lartusi.com,Italian,yelp_3_248,10Th,W,228.0,new york
cooper’s craft & kitchen,"87 2nd Ave,New York",10003.0,(646) 606-2384,coopersnyc.com,Bars;American (New);Gastropubs,yelp_3_251,2Nd,,87.0,new york
bobwhite counter,"94 Ave C,New York",10009.0,(212) 228-2972,bobwhitecounter.com,Southern;Comfort Food,yelp_3_254,Ave C,,94.0,new york
baker & co,"259 Bleecker St,New York",10014.0,(212) 255-1234,bakerandcony.com,Italian;Breakfast & Brunch;Wine Bars,yelp_3_257,Bleecker,,259.0,new york
barbacon,"836 9th Ave,New York",10019.0,(646) 362-0622,barbacon.com,Gastropubs,yelp_3_267,9Th,,836.0,new york
super taste,"26 Eldridge St,New York",10002.0,(212) 625-1198,,Chinese,yelp_3_269,Eldridge,,26.0,new york
cuba,"222 Thompson St,New York",10012.0,(212) 420-7878,cubanyc.com,Cuban,yelp_3_270,Thompson,,222.0,new york
flinders lane,"162 Ave A,New York",10009.0,(212) 228-6900,flinderslane-nyc.com,Australian;Wine Bars,yelp_3_279,Ave A,,162.0,new york
shanghai asian manor,"21 Mott St,New York",10013.0,(212) 766-6311,shanghaiasiancuisine.com,Shanghainese,yelp_3_280,Mott,,21.0,new york
mighty quinn’s barbeque,"103 2nd Ave,New York",10003.0,(212) 677-3733,mightyquinnsbbq.com,Barbeque,yelp_3_294,2Nd,,103.0,new york
maharlika,"111 1st Ave,New York",10003.0,(646) 392-7880,maharlikanyc.com,Filipino,yelp_3_302,1St,,111.0,new york
robataya ny,"231 E 9th St,New York",10003.0,(212) 979-9674,robataya-ny.com,Japanese,yelp_3_303,9Th,E,231.0,new york
il corallo trattoria,"176 Prince St,New York",10012.0,(212) 941-7119,ilcorallotrattoria.com,Italian;Pizza,yelp_3_307,Prince,,176.0,new york
café zaiya,"18 E 41st St,New York",10003.0,(212) 779-0600,zaiyany.com,Japanese;Desserts,yelp_3_309,41St,E,18.0,new york
pellegrino’s italian restaurant,"138 Mulberry St,New York",10013.0,(212) 226-3177,pellegrinosristorante.com,Italian,yelp_3_312,Mulberry,,138.0,new york
hakata tonton,"61 Grove St,New York",10014.0,(212) 242-3699,,Japanese,yelp_3_324,Grove,,61.0,new york
atera,"77 Worth St,New York",10013.0,(212) 226-1444,ateranyc.com,Lounges;American (Traditional),yelp_3_335,Worth,,77.0,new york
ootoya times square,"141 W 41st St,New York",10036.0,(212) 704-0833,ootoya.us,Japanese,yelp_3_341,41St,W,141.0,new york
galli,"45 Mercer St,New York",10013.0,(212) 966-9288,gallirestaurant.com,Italian,yelp_3_347,Mercer,,45.0,new york
lombardi’s pizza,"32 Spring St,New York",10012.0,(212) 941-7994,firstpizza.com,Pizza,yelp_3_376,Spring,,32.0,new york
tasty hand-pulled noodles,"1 Doyers St,New York",10013.0,(212) 791-1817,tastyhandpullednoodlesnyc.com,Chinese,yelp_3_377,Doyers,,1.0,new york
the bao,"13 St Marks Pl,New York",10003.0,(212) 388-9238,,Chinese,yelp_3_383,St Marks,,13.0,new york
sweet revenge,"62 Carmine St,New York",10014.0,(212) 242-2240,sweetrevengenyc.com,Desserts;Wine Bars;American (Traditional),yelp_3_402,Carmine,,62.0,new york
casa adela,"66 Ave C,New York",10009.0,(212) 473-1882,,Latin American;Puerto Rican,yelp_3_408,Ave C,,66.0,new york
china blue,"135 Watts St,New York",10013.0,(212) 431-0111,chinabluenewyork.com,Shanghainese;Dim Sum,yelp_3_413,Watts,,135.0,new york
barrio chino,"253 Broome St,New York",10002.0,(212) 228-6710,barriochinonyc.com,Mexican;Bars,yelp_3_416,Broome,,253.0,new york
beauty & essex,"146 Essex St,New York",10002.0,(212) 614-0146,beautyandessex.com,Bars;American (New);Tapas/Small Plates,yelp_3_418,Essex,,146.0,new york
tartine,"253 W 11th St,New York",10014.0,(212) 229-2611,tartinecafenyc.com,French;Breakfast & Brunch,yelp_3_420,11Th,W,253.0,new york
root & bone,"200 E 3rd St,New York",10009.0,(646) 682-7076,rootnbone.com,Southern;Comfort Food,yelp_3_425,3Rd,E,200.0,new york
degustation,"239 E 5th St,New York",10003.0,(212) 979-1012,degustation-nyc.com,French;American (New);Spanish,yelp_3_439,5Th,E,239.0,new york
prince st. pizza,"27 Prince St,New York",10012.0,(212) 966-4100,princestpizza.com,Pizza,yelp_3_442,Prince,,27.0,new york
sukhumvit 51,"224 E 51st St,New York",10022.0,(212) 888-8894,sukhumvit51.com,Thai,yelp_3_447,51St,E,224.0,new york
café orlin,"41 St Marks Pl,New York",10003.0,(212) 777-1447,cafeorlin.com,Breakfast & Brunch;Cafes,yelp_3_450,St Marks,,41.0,new york
trattoria trecolori,"254 W 47th St,New York",10036.0,(212) 997-4540,trattoriatrecolori.com,Italian,yelp_3_455,47Th,W,254.0,new york
grill 21,"346 E 21st St,New York",10010.0,(212) 473-5950,thegrill21.com,Filipino,yelp_3_457,21St,E,346.0,new york
burger & barrel,"25 W Houston St,New York",10012.0,(212) 334-7320,burgerandbarrel.com,Burgers,yelp_3_462,Houston,W,25.0,new york
barbalu restaurant,"225-227 Front St,New York",10038.0,(646) 918-6565,barbalu.com,Italian,yelp_3_463,Front,,-1.0,new york
woorijip authentic korean food,"12 W 32nd St,New York",10001.0,(212) 244-1115,woorijipnyc.com,Korean,yelp_3_467,32Nd,W,12.0,new york
lam zhou handmade noodle,"144 E Broadway,New York",10002.0,(212) 566-6933,,Chinese,yelp_3_468,Broadway,E,144.0,new york
sushi yasuda,"204 E 43rd St,New York",10017.0,(212) 972-1001,sushiyasuda.com,Sushi Bars;Japanese,yelp_3_484,43Rd,E,204.0,new york
sticky’s finger joint,"31 W 8th St,New York",10011.0,(212) 777-7131,stickysfingerjoint.com,American (New);Chicken Wings,yelp_3_487,8Th,W,31.0,new york
scarpetta,"355 W 14th St,New York",10014.0,(212) 691-0555,scarpettanyc.com,Italian,yelp_3_491,14Th,W,355.0,new york
nino’s 46,"39 W 46th St,New York",10036.0,(212) 719-4015,ninos46.com,Italian;Gluten-Free,yelp_3_507,46Th,W,39.0,new york
the masalawala,"179 Essex St,New York",10002.0,(212) 358-9300,themasalawala.com,Indian;Pakistani,yelp_3_514,Essex,,179.0,new york
song e napule,"146 W Houston St,New York",10012.0,(212) 533-1242,,Pizza;Italian,yelp_3_518,Houston,W,146.0,new york
abc kitchen,"35 E 18th St,New York",10003.0,(212) 475-5829,abckitchennyc.com,American (New);French,yelp_3_526,18Th,E,35.0,new york
cha-an,"230 E 9th St 2nd Fl,New York",10003.0,(212) 228-8030,chaanteahouse.com,Japanese;Tea Rooms,yelp_3_529,9Thst,E,230.0,new york
malaparte,"753 Washington St,New York",10014.0,(212) 255-2122,malapartenyc.com,Italian;Salad,yelp_3_534,Washington,,753.0,new york
fools gold nyc,"145 E Houston St,New York",10002.0,(212) 673-2337,foolsgoldnyc.com,Gastropubs;Pubs;Cocktail Bars,yelp_3_535,Houston,E,145.0,new york
extra virgin,"259 W 4th St,New York",10014.0,(212) 691-9359,extravirginrestaurant.com,Seafood;Greek;Italian,yelp_3_539,4Th,W,259.0,new york
los tacos no.1,"Chelsea Market 75 9th Ave,New York",10011.0,(212) 256-0343,lostacos1.com,Mexican,yelp_3_540,Chelsea Market 75 9Th,,-1.0,new york
domodomo,"138 W Houston St,New York",10012.0,(646) 707-0301,domodomonyc.com,Japanese;Sushi Bars,yelp_3_545,Houston,W,138.0,new york
pepolino restaurant,"281 W Broadway,New York",10013.0,(212) 966-9983,pepolino.com,Italian,yelp_3_546,Broadway,W,281.0,new york
supper,"156 E 2nd St,New York",10009.0,(212) 477-7600,supperrestaurant.com,Italian,yelp_3_562,2Nd,E,156.0,new york
la panineria,"1 W 8th St,New York",11001.0,(917) 388-3257,lapanineria.com,Italian;Sandwiches;Coffee & Tea,yelp_3_564,8Th,W,1.0,new york
pylos,"128 E 7th St,New York",10009.0,(212) 473-0220,pylosrestaurant.com,Greek,yelp_3_569,7Th,E,128.0,new york
niu noodle house,"15 Greenwich Ave,New York",10014.0,(212) 488-9888,niunoodleny.com,Dim Sum;Ramen,yelp_3_576,Greenwich,,15.0,new york
maysville,"17 W 26th St,New York",10010.0,(646) 490-8240,maysvillenyc.com,American (New);Wine Bars,yelp_3_584,26Th,W,17.0,new york
vanessa’s dumpling house,"118 Eldridge St,New York",10002.0,(212) 625-8008,vanessas.com,Chinese,yelp_3_588,Eldridge,,118.0,new york
taiwan pork chop house,"3 Doyers St,New York",10013.0,(212) 791-7007,taiwanporkchophouse.com,Taiwanese;Chinese,yelp_3_590,Doyers,,3.0,new york
spicy village,"68 Forsyth St Ste B,New York",10002.0,(212) 625-8299,,Chinese,yelp_3_591,Forsyth,,68.0,new york
saxon + parole,"316 Bowery,New York",10012.0,(212) 254-0350,saxonandparole.com,American (New);Bars,yelp_3_593,Bowery,,316.0,new york
bubby’s,"120 Hudson St,New York",10013.0,(212) 219-0666,bubbys.com/our-restaurants/tr…,American (Traditional);Breakfast & Brunch,yelp_3_619,Hudson,,120.0,new york
junior’s restaurant,"1515 Broadway,New York",10036.0,(212) 302-2000,juniorscheesecake.com,Diners;American (Traditional);Breakfast & Brunch,yelp_3_624,Broadway,,1515.0,new york
ofrenda,"113 7th Ave S,New York",10014.0,(212) 924-2305,ofrendanyc.com,Mexican;Breakfast & Brunch,yelp_3_627,7Th,,113.0,new york
risotteria melotti,"309 E 5th St,New York",10003.0,(646) 755-8939,risotteriamelottinyc.com,Italian;Gluten-Free,yelp_3_631,5Th,E,309.0,new york
the little beet table,"333 Park Ave S,New York",10010.0,(212) 466-3330,thelittlebeettable.com,Gluten-Free,yelp_3_632,Park,,333.0,new york
shanghai asian cuisine,"14A Elizabeth St,New York",10013.0,(212) 964-5640,shanghaiasiancuisine.com,Shanghainese,yelp_3_634,Elizabeth,,14.0,new york
black barn,"19 E 26th St,New York",10010.0,(212) 265-5959,,American (New),yelp_3_638,26Th,E,19.0,new york
prosperity dumpling,"46 Eldridge St,New York",10002.0,(212) 343-0683,prosperitydumpling.com,Chinese,yelp_3_644,Eldridge,,46.0,new york
pisillo italian panini,"97 Nassau St,New York",10038.0,(212) 227-3104,,Italian;Sandwiches,yelp_3_645,Nassau,,97.0,new york
curry-ya,"214 E 10th St,New York",10003.0,(866) 602-8779,nycurry-ya.com,Japanese,yelp_3_651,10Th,E,214.0,new york
ugly kitchen,"103 1st Ave,New York",10003.0,(212) 777-6677,theuglykitchen.com,Bars;Asian Fusion;Filipino,yelp_3_661,1St,,103.0,new york
woodrow’s,"43 Murray St,New York",10007.0,(212) 676-0300,woodrowsnyc.com/yelp.shtml,American (Traditional);Pubs,yelp_3_662,Murray,,43.0,new york
amélie,"22 W 8th St,New York",10011.0,(212) 533-2962,ameliewinebar.com/amelienyc,French;Wine Bars,yelp_3_666,8Th,W,22.0,new york
gg’s,"511 E 5th St,New York",10009.0,(212) 687-3641,ggsnyc.com,American (New);Pizza,yelp_3_680,5Th,E,511.0,new york
spaghetti incident,"231 Eldridge St,New York",10002.0,(646) 896-1446,spaghettiincidentnyc.com,Italian,yelp_3_682,Eldridge,,231.0,new york
pepe rosso social,"173 Mott St,New York",10013.0,(212) 219-0019,peperossosocial.com,Italian,yelp_3_691,Mott,,173.0,new york
da claudio,"21 Ann St,New York",10038.0,(347) 947-6451,daclaudionyc.com,Italian;Cocktail Bars,yelp_3_696,Ann,,21.0,new york
rubirosa,"235 Mulberry St,New York",10012.0,(212) 965-0500,rubirosanyc.com,Italian;Pizza,yelp_3_698,Mulberry,,235.0,new york
mooncake foods,"28 Watts St,New York",10013.0,(212) 219-8888,mooncakefoods.com,Asian Fusion,yelp_3_708,Watts,,28.0,new york
12 chairs,"56 MacDougal St,New York",10012.0,(212) 254-8640,12chairscafe.com,Middle Eastern;American (Traditional),yelp_3_715,Macdougal,,56.0,new york
luke’s lobster,"93 E 7th St,New York",10009.0,(212) 387-8487,lukeslobster.com,Seafood,yelp_3_718,7Th,E,93.0,new york
the meatball shop,"84 Stanton St,New York",10002.0,(212) 982-8895,meatballshop.com,Italian;American (Traditional),yelp_3_719,Stanton,,84.0,new york
senya,"109 1st Ave,New York",10003.0,(212) 995-5278,senyanyc.com,Japanese;Sushi Bars,yelp_3_728,1St,,109.0,new york
westville,"173 Ave A,New York",10009.0,(212) 677-2033,westvillenyc.com,American (New),yelp_3_729,Ave A,,173.0,new york
sakagura,"211 E 43rd St,New York",10017.0,(212) 953-7253,sakagura.com,Japanese,yelp_3_730,43Rd,E,211.0,new york
beijing pop kabob restaurant,"122 Mulberry St,New York",10013.0,(212) 966-6206,,Asian Fusion;Ethnic Food,yelp_3_732,Mulberry,,122.0,new york
trading post,"170 John St,New York",10038.0,(646) 370-3337,tradingpostnyc.com,Bars;American (New),yelp_3_733,John,,170.0,new york
freemans,"191 Chrystie St Ste 2F,New York",10002.0,(212) 420-0012,freemansrestaurant.com,Breakfast & Brunch;American (New);Lounges,yelp_3_740,Chrystie,,191.0,new york
gentleman farmer,"40 Rivington St,New York",10002.0,(212) 677-2172,gentlemanfarmernyc.com,American (New);French,yelp_3_763,Rivington,,40.0,new york
daniel,"60 E 65th St.,New York",10065.0,(212) 288-0033,danielnyc.com,French;American (Traditional);Bars,yelp_3_764,65Th,E,60.0,new york
somtum der,"85 Ave A,New York",10009.0,(212) 260-8570,somtumder.com,Thai,yelp_3_771,Ave A,,85.0,new york
eastwood,"221 E Broadway,New York",10002.0,(212) 233-0124,,Bars;American (Traditional),yelp_3_773,Broadway,E,221.0,new york
mamoun’s falafel,"119 MacDougal St,New York",10012.0,(212) 674-8685,mamouns.com,Middle Eastern;Falafel,yelp_3_776,Macdougal,,119.0,new york
pinto,"118 Christopher St,New York",10014.0,(212) 366-5455,pintonyc.com,Thai,yelp_3_781,Christopher,,118.0,new york
shu jiao fu zhou cuisine restaurant,"118 Eldridge St,New York",10002.0,(212) 625-2532,,Chinese,yelp_3_782,Eldridge,,118.0,new york
the clam,"420 Hudson St,New York",10014.0,(212) 242-7420,theclamnyc.com,Seafood,yelp_3_785,Hudson,,420.0,new york
oscar’s place,"466 Hudson St,New York",10014.0,(212) 741-6479,oscarsplacewestvillage.com,Modern European;Breakfast & Brunch;British,yelp_3_791,Hudson,,466.0,new york
antica ristorante,"8 Stone St,New York",10004.0,(212) 480-3880,ristoranteantica.com,Italian,yelp_3_794,Stone,,8.0,new york
bite,"211 E 14th St,New York",10003.0,(212) 677-3123,bitenyc.com,Sandwiches;Salad;Mediterranean,yelp_3_795,14Th,E,211.0,new york
bcd tofu house,"5W 32nd St,New York",10001.0,(212) 967-1900,bcdtofu.com,Korean;Vegetarian,yelp_3_803,32Nd,,5.0,new york
applewood,"501 11th St,New York",11215.0,(718) 788-1810,applewoodny.com,American (New),yelp_3_805,11Th,,501.0,new york
cipriani le specialita,"120 E 42nd St,New York",10017.0,(212) 557-5088,cipriani.com,Specialty Food;Italian;Bakeries,yelp_3_822,42Nd,E,120.0,new york
cup & saucer,"89 Canal St,New York",10002.0,(212) 925-3298,,Diners,yelp_3_823,Canal,,89.0,new york
jadis,"42 Rivington St,New York",10002.0,(212) 254-1675,jadisnyc.com,French;Wine Bars,yelp_3_834,Rivington,,42.0,new york
kottu house,"250 Broome St,New York",10002.0,(646) 781-9222,kottuhouse.com,Sri Lankan,yelp_3_843,Broome,,250.0,new york
buddakan,"75 9th Ave,New York",10011.0,(212) 989-6699,buddakannyc.com,Chinese;Asian Fusion,yelp_3_855,9Th,,75.0,new york
black tap craft burgers & beer,"529 Broome St,New York",10013.0,(917) 639-3089,blacktapnyc.com,American (Traditional);Gastropubs;Burgers,yelp_3_869,Broome,,529.0,new york
ngam,"99 3rd Ave,New York",10003.0,(212) 777-8424,ngamnyc.com,Thai;Cooking Schools,yelp_3_875,3Rd,,99.0,new york
hillstone restaurant,"378 Park Ave S,New York",10010.0,(212) 689-1090,hillstonerestaurant.com/locat…,American (New);Sushi Bars,yelp_3_884,Park,,378.0,new york
bar b,"84 7th Ave,New York",10011.0,(212) 229-1888,barbnyc.com,Italian;Bars;Tapas Bars,yelp_3_893,7Th,,84.0,new york
houseman,"508 Greenwich St,New York",10013.0,(212) 641-0654,housemanrestaurant.com,American (New);Comfort Food;Scandinavian,yelp_3_898,Greenwich,,508.0,new york
adrienne’s pizzabar,"54 Stone St,New York",10004.0,(212) 248-3838,,Pizza;Italian,yelp_3_900,Stone,,54.0,new york
joe’s shanghai,"9 Pell St,New York",10013.0,(212) 233-8888,joeshanghairestaurants.com,Shanghainese,yelp_3_904,Pell,,9.0,new york
pepe rosso to go,"149 Sullivan St,New York",10012.0,(212) 677-4555,peperossotogo.com,Italian,yelp_3_911,Sullivan,,149.0,new york
han dynasty,"90 3rd Ave,New York",10003.0,(212) 390-8685,handynasty.net,Szechuan;Soup,yelp_3_917,3Rd,,90.0,new york
khao thai kitchen,"235 Sullivan St,New York",10012.0,(646) 726-4418,khaothainyc.com,Thai;Asian Fusion,yelp_3_921,Sullivan,,235.0,new york
capizzi,"547 9th Ave,New York",10018.0,(212) 695-6900,capizzinyc.com,Pizza,yelp_3_929,9Th,,547.0,new york
great ny noodle town,"28 Bowery,New York",10013.0,(212) 349-0923,,Cantonese,yelp_3_937,Bowery,,28.0,new york
colicchio & sons tap room,"85 10th Ave,New York",10011.0,(212) 400-6699,colicchioandsons.com,American (New),yelp_3_943,10Th,,85.0,new york
gardenia,"64 Downing St,New York",10014.0,(212) 604-0500,gardenianyc.com,Mediterranean;Latin American;Cocktail Bars,yelp_3_945,Downing,,64.0,new york
da mikele,"275 Church St,New York",10013.0,(212) 925-8800,damikele.com,Italian,yelp_3_947,Church,,275.0,new york
club a steakhouse,"240 E 58th St,New York",10022.0,(212) 688-4190,clubasteakhouse.com,"Steakhouses;Beer, Wine & Spirits",yelp_3_948,58Th,E,240.0,new york
kori,"253 Church St,New York",10013.0,(212) 334-0908,korinyc.com,Korean,yelp_3_951,Church,,253.0,new york
sweet chick,"178 Ludlow St,New York",10002.0,(646) 657-0233,sweetchicknyc.com,Southern,yelp_3_953,Ludlow,,178.0,new york
sole di capri,"165 Church St,New York",10007.0,(212) 513-1113,soledicapriny.com,Italian,yelp_3_958,Church,,165.0,new york
buddha bodai,"5 Mott St,New York",10013.0,(212) 566-8388,chinatownvegetarian.com,Vegetarian;Dim Sum;Kosher,yelp_3_965,Mott,,5.0,new york
zest,"249 Broome St,New York",10002.0,(212) 677-3158,zest249.com,Sushi Bars;Japanese;Thai,yelp_3_987,Broome,,249.0,new york
jungsik,"2 Harrison St,New York",10013.0,(212) 219-0900,jungsik.kr,Korean,yelp_3_990,Harrison,,2.0,new york
gato,"324 Lafayette St,New York",10012.0,(212) 334-6400,gatonyc.com,Mediterranean;Spanish;Bars,yelp_3_998,Lafayette,,324.0,new york
hot thai restaurant,"416 S San Vicente Blvd,Los Angeles",90048.0,(310) 659-9618,hotthairestaurant.com,Thai,yelp_3_1004,San Vicente,S,416.0,los angeles
waba grill,"1134 N. Vermont Ave.,Los Angeles",90029.0,(323) 660-9222,wabagrill.com,Fast Food;Asian Fusion,yelp_3_1005,Vermont,N,1134.0,los angeles
hms bounty,"3357 Wilshire Blvd,Los Angeles",90010.0,(213) 385-7275,thehmsbounty.com,Bars;American (Traditional),yelp_3_1006,Wilshire,,3357.0,los angeles
cha cha chili,"4625 Valley Blvd,Los Angeles",90032.0,(323) 222-8900,chachachili.com,Asian Fusion;Korean;Mexican,yelp_3_1007,Valley,,4625.0,los angeles
fred’s downhome burgers,"2524 W Slauson Ave,Los Angeles",90043.0,(323) 298-7762,bestburgerslosangeles.co,Burgers;American (Traditional),yelp_3_1011,Slauson,W,2524.0,los angeles
the zipbob,"4003 Wilshire Blvd,Los Angeles",90010.0,(213) 389-2818,,Korean,yelp_3_1012,Wilshire,,4003.0,los angeles
tacos baja ensenada,"5385 Whittier Blvd,Los Angeles",90022.0,(323) 887-1980,tacosbaja.com,Mexican,yelp_3_1013,Whittier,,5385.0,los angeles
the west end: craft bar and neighborhood kitchen,"2116-B Westwood Blvd,Los Angeles",90025.0,(310) 470-6601,thewestend.biz,Tapas/Small Plates;American (New);Gastropubs,yelp_3_1015,-B Westwood,,2116.0,los angeles
hong galbi,"3132 W Olympic Blvd,Los Angeles",90006.0,(323) 734-2577,honggalbi.com,Korean;Barbeque,yelp_3_1020,Olympic,W,3132.0,los angeles
