name,phone,address,zip,cuisine,website,id,road_name,road_dir,road_number,city
Wyler Road,(773) 661-0675,3581 W Belden Ave,60647,Bars,,yelp_2_57,Belden,W,3581.0,
Davanti Enoteca,(312) 226-5550,1359 W Taylor St,60607,Italian,,yelp_2_62,Taylor,W,1359.0,
Viaggio Ristorante & Lounge,(312) 829-3333,1330 W Madison St,60607,Italian,,yelp_2_63,Madison,W,1330.0,
Nuevo Leon Restaurant,(312) 421-1517,1515 W 18th St,60608,Mexican,,yelp_2_71,18Th,W,1515.0,
Kingsbury Street Cafe,(312) 280-1718,1523 N Kingsbury St,60642,American (New),,yelp_2_72,Kingsbury,N,1523.0,
de Quay,(872) 206-8820,2470 N Lincoln Ave,60614,Indonesian,,yelp_2_75,Lincoln,N,2470.0,
The Panini Republic,(773) 525-2000,500 W Diversey Pkwy,60614,Sandwiches,,yelp_2_78,Diversey,W,500.0,
Fork,(773) 751-1500,4600 N Lincoln Ave,60625,American (New),,yelp_2_80,Lincoln,N,4600.0,
Ge Pa De Caffe,(312) 332-2200,60 E Adams St,60603,Italian,,yelp_2_81,Adams,E,60.0,
Husky Hog BBQ,(773) 442-2769,335 W 31st St,60616,Food Trucks,,yelp_2_83,31St,W,335.0,
The Drinkingbird,(773) 472-9920,2201 N Clybourn Ave,60614,"American (New),Outdoor Gear,Furniture Stores",,yelp_2_84,Clybourn,N,2201.0,
Fatso’s Last Stand,(773) 245-3287,2258 W Chicago Ave,60622,Hot Dogs,,yelp_2_85,Chicago,W,2258.0,
MingHin Cuisine,(312) 808-1999,2168 S Archer Ave,60616,"Seafood,Chinese",,yelp_2_86,Archer,S,2168.0,
Mott St,(773) 687-9977,1401 N Ashland Ave,60622,Asian Fusion,,yelp_2_91,Ashland,N,1401.0,
Irazu,(773) 252-5687,1865 N Milwaukee Ave,60647,Latin American,,yelp_2_94,Milwaukee,N,1865.0,
Greek Islands Restaurant,(312) 782-9855,200 S Halsted St,60661,Greek,,yelp_2_96,Halsted,S,200.0,
Au Cheval,(312) 929-4580,800 W Randolph S,60607,American (New),,yelp_2_98,Randolph S,W,800.0,
Moxee Restaurant & Mad Mouse Brewery,(312) 243-3660,724 W Maxwell St,60607,American (New),,yelp_2_104,Maxwell,W,724.0,
The Franklin Room,(312) 445-4686,675 N Franklin St,60654,American (New),,yelp_2_105,Franklin,N,675.0,
Frontera Fresco,(312) 781-4483,111 N State St,60602,Mexican,,yelp_2_106,State,N,111.0,
La Scarola,(312) 243-1740,721 W Grand Ave,60610,Italian,,yelp_2_107,Grand,W,721.0,
Café Iberico,(312) 573-1510,737 N Lasalle Blvd,60654,Spanish,,yelp_2_108,Lasalle,N,737.0,
Dove’s Luncheonette,(773) 645-4060,1545 N Damen Ave,60622,Southern,,yelp_2_112,Damen,N,1545.0,
The Bristol,(773) 862-5555,2152 N Damen Ave,60647,American (New),,yelp_2_118,Damen,N,2152.0,
Sono Wood Fired,(312) 255-1122,1582 N Clybourn Ave,60642,"Italian,Burgers",,yelp_2_123,Clybourn,N,1582.0,
Grace,(312) 234-9494,652 W Randolph St,60661,American (New),,yelp_2_126,Randolph,W,652.0,
Bridge House Tavern,(312) 644-0283,321 N Clark St,60654,American (New),,yelp_2_129,Clark,N,321.0,
Oiistar,(773) 360-8791,1385 N Milwaukee Ave,60622,American (New),,yelp_2_130,Milwaukee,N,1385.0,
Blackwood BBQ,(312) 621-9663,305 W Lake St,60606,Barbeque,,yelp_2_131,Lake,W,305.0,
Yuzu Sushi & Robata Grill,(312) 666-4100,1751 W Chicago Ave,60622,Japanese,,yelp_2_136,Chicago,W,1751.0,
Ramen Takeya,(312) 666-7710,819 W Fulton Market,60607,Ramen,,yelp_2_137,Fulton Market,W,819.0,
Kai Sushi,(312) 583-0567,1255 S State St,60605,Sushi Bars,,yelp_2_139,State,S,1255.0,
Silli Kori,(773) 384-5352,2053 W Division St,60622,Thai,,yelp_2_148,Division,W,2053.0,
Tabaq Restaurant,(312) 944-1245,1245 N Clybourn St,60610,Pakistani,,yelp_2_152,Clybourn,N,1245.0,
Feed,(773) 489-4600,2803 W Chicago Ave,60622,Southern,,yelp_2_154,Chicago,W,2803.0,
Gyu-Kaku Japanese BBQ,(312) 266-8929,210 E Ohio St,60611,Japanese,,yelp_2_155,Ohio,E,210.0,
Nana,(312) 929-2486,3267 S Halsted St,60608,American (New),,yelp_2_161,Halsted,S,3267.0,
Flo,(312) 243-0477,1434 W Chicago Ave,60642,Breakfast & Brunch,,yelp_2_162,Chicago,W,1434.0,
Thai Aree House,(773) 725-6751,3592 N Milwaukee Ave,60641,Thai,,yelp_2_163,Milwaukee,N,3592.0,
Alinea,(312) 867-0110,1723 N Halsted St,60614,Japanese,,yelp_2_165,Halsted,N,1723.0,
The Pasta Bowl,(773) 525-2695,2434 N Clark St,60614,Italian,,yelp_2_166,Clark,N,2434.0,
Papa’s Cache Sabroso,(773) 862-8313,2517 W Division St,60622,Latin American,,yelp_2_169,Division,W,2517.0,
Cooper’s,(773) 929-2667,1232 W Belmont Ave,60657,Bars,,yelp_2_170,Belmont,W,1232.0,
First Draft,(312) 461-1062,649 S Clark St,60605,Bars,,yelp_2_175,Clark,S,649.0,
Uptown Pho,(773) 878-8820,1010 W Argyle St,60640,Vietnamese,,yelp_2_177,Argyle,W,1010.0,
LYFE Kitchen,(312) 836-5933,413 N Clark St,60654,American (New),,yelp_2_179,Clark,N,413.0,
Ground Control,(773) 772-9446,3315 W Armitage Ave,60647,Vegetarian,,yelp_2_182,Armitage,W,3315.0,
Kabobi Grill,(773) 583-1400,4748 N Kedzie Ave,60625,Mediterranean,,yelp_2_186,Kedzie,N,4748.0,
Sumo Sushi & Hibachi Grill,(773) 477-8510,2936 N Broadway,60657,Sushi Bars,,yelp_2_188,Broadway,N,2936.0,
Monti’s,(773) 942-6012,4757 N Talman Ave,60625,Cheesesteaks,,yelp_2_190,Talman,N,4757.0,
Blackwood BBQ,(312) 631-3431,28 S Clinton St,60661,Barbeque,,yelp_2_191,Clinton,S,28.0,
Khaosan & Taylor,(312) 997-9991,1104 W Taylor St,60607,Thai,,yelp_2_195,Taylor,W,1104.0,
Handlebar,(773) 384-9546,2311 W North Ave,60647,Vegetarian,,yelp_2_197,North,W,2311.0,
Mana Food Bar,(773) 342-1742,1742 W Division St,60622,"Vegetarian,Sushi Bars",,yelp_2_199,Division,W,1742.0,
Noodles In the Pot,(773) 975-6177,2453 N Halsted St,60614,Thai,,yelp_2_203,Halsted,N,2453.0,
Grange Hall Burger Bar,(312) 491-0844,844 W Randolph St,60607,Burgers,,yelp_2_204,Randolph,W,844.0,
más,(312) 243-1995,800 W Washington Blvd,60607,Mexican,,yelp_2_214,Washington,W,800.0,
The Chicago Diner,(773) 252-3211,2333 N Milwaukee Ave,60647,Vegan,,yelp_2_219,Milwaukee,N,2333.0,
Momotaro,(312) 733-4818,820 W Lake St,60607,Sushi Bars,,yelp_2_225,Lake,W,820.0,
Tango Sur,(773) 477-5466,3763 N Southport Ave,60613,Steakhouses,,yelp_2_226,Southport,N,3763.0,
Big Bricks,(773) 525-5022,3832 N Lincoln Ave,60613,Pizza,,yelp_2_227,Lincoln,N,3832.0,
Nando Milano Trattoria,(773) 486-2636,2114 W Division St,60622,Italian,,yelp_2_229,Division,W,2114.0,
Ara On,(312) 781-7300,160 W Adams St,60603,Asian Fusion,,yelp_2_237,Adams,W,160.0,
Eduardo’s Enoteca,(312) 337-4490,1212 N Dearborn St,60610,Italian,,yelp_2_238,Dearborn,N,1212.0,
Rice’N Bread,(773) 281-4452,3435 N Sheffield Ave,60657,Korean,,yelp_2_240,Sheffield,N,3435.0,
Tanta,(312) 222-9700,118 W Grand Ave,60654,Peruvian,,yelp_2_241,Grand,W,118.0,
Pork Shoppe,(773) 961-7654,2755 W Belmont Ave,60618,Barbeque,,yelp_2_242,Belmont,W,2755.0,
The Gage,(312) 372-4243,24 S Michigan Ave,60603,Gastropubs,,yelp_2_243,Michigan,S,24.0,
Uncle Mike’s Place,(312) 226-5318,1700 W Grand Ave,60622,Breakfast & Brunch,,yelp_2_244,Grand,W,1700.0,
mEAT Streeterville,(773) 328-8320,215 E Chestnut St,60611,"American (New),American (New)",,yelp_2_255,Chestnut,E,215.0,
Taverna 750,(773) 904-7466,750 W Cornelia Ave,60657,Cocktail Bars,,yelp_2_258,Cornelia,W,750.0,
Blackbird,(312) 715-0708,619 W Randolph St,60661,American (New),,yelp_2_261,Randolph,W,619.0,
Olive Mediterranean Grill,(312) 274-5525,1001 W North Ave,60642,Mediterranean,,yelp_2_264,North,W,1001.0,
Chicken Planet,(312) 360-1409,177 W Van Buren St,60605,American (New),,yelp_2_266,Van Buren,W,177.0,
Slim’s,(773) 878-7546,2020 W Montrose Ave,60618,Sandwiches,,yelp_2_267,Montrose,W,2020.0,
Longman & Eagle,(773) 276-7110,2657 N Kedzie Ave,60647,Hotels,,yelp_2_276,Kedzie,N,2657.0,
Shokran Moroccan Restaurant,(773) 427-9130,4027 W Irving Park,60641,Moroccan,,yelp_2_278,Irving,W,4027.0,
Tweet,(773) 728-5576,5020 N Sheridan Rd,60640,American (New),,yelp_2_281,Sheridan,N,5020.0,
County Barbeque,(312) 929-2528,1352 W Taylor St,60607,Barbeque,,yelp_2_284,Taylor,W,1352.0,
Little Goat,(312) 888-3455,820 W Randolph St,60607,Diners,,yelp_2_287,Randolph,W,820.0,
Breakfast House,(312) 997-2400,1800 W Grand Ave,60622,Breakfast & Brunch,,yelp_2_290,Grand,W,1800.0,
Dak,(773) 754-0255,1104 W Granville Ave,60660,Korean,,yelp_2_293,Granville,W,1104.0,
Frontera Grill,(312) 661-1434,445 N Clark St,60654,Mexican,,yelp_2_295,Clark,N,445.0,
Parson’s Chicken & Fish,(773) 384-3333,2952 W Armitage,60647,American (New),,yelp_2_297,Armitage,W,2952.0,
Summer House,(773) 634-4100,1954 N Halsted St,60614,American (Traditional),,yelp_2_298,Halsted,N,1954.0,
Go 4 Food,(312) 842-8688,212 W 23rd St,60616,Chinese,,yelp_2_300,23Rd,W,212.0,
Perennial Virant,(312) 981-7070,1800 N Lincoln Ave,60614,American (New),,yelp_2_301,Lincoln,N,1800.0,
Flub A Dub Chub’s,(773) 857-6500,3021 N Broadway,60657,Hot Dogs,,yelp_2_302,Broadway,N,3021.0,
The Peasantry,(773) 868-4888,2723 N Clark St,60614,American (New),,yelp_2_304,Clark,N,2723.0,
Spacca Napoli,(773) 878-2420,1769 W Sunnyside Ave,60640,Pizza,,yelp_2_305,Sunnyside,W,1769.0,
Piece Brewery and Pizzeria,(773) 772-4422,1927 W North Ave,60622,Pizza,,yelp_2_311,North,W,1927.0,
Balena,(312) 867-3888,1633 N Halsted St,60614,Italian,,yelp_2_318,Halsted,N,1633.0,
Bodhi Thai,(312) 492-8424,1800 S Jefferson,60616,Thai,,yelp_2_322,Jefferson,S,1800.0,
Fish Bar,(773) 687-8177,2956 N Sheffield Ave,60657,Seafood,,yelp_2_324,Sheffield,N,2956.0,
bopNGrill,(773) 654-3224,6604 N Sheridan Rd,60626,Burgers,,yelp_2_325,Sheridan,N,6604.0,
Sultan’s Market,(773) 235-3072,2057 W North Ave,60647,Middle Eastern,,yelp_2_328,North,W,2057.0,
Pastoral,(773) 472-4781,2945 N Broadway,60657,Cheese Shops,,yelp_2_330,Broadway,N,2945.0,
Dinosaur Bar-B-Que,(312) 462-1053,923 W Weed St,60642,Barbeque,,yelp_2_333,Weed,W,923.0,
LC Pho,(872) 208-7606,2739 W Lawrence Ave,60625,Vietnamese,,yelp_2_335,Lawrence,W,2739.0,
Rub’s Backcountry Smokehouse,(773) 675-1410,6954 N Western Ave,60645,Barbeque,,yelp_2_339,Western,N,6954.0,
Athenian Room,(773) 348-5155,807 W Webster Ave,60614,Greek,,yelp_2_341,Webster,W,807.0,
Over Easy Cafe,(773) 506-2605,4943 N Damen Ave,60625,Breakfast & Brunch,,yelp_2_346,Damen,N,4943.0,
bellyQ,(312) 563-1010,1400 W Randolph St,60607,Barbeque,,yelp_2_353,Randolph,W,1400.0,
Takito Kitchen,(773) 687-9620,2013 W Division St,60622,Mexican,,yelp_2_355,Division,W,2013.0,
La Lagartija Taqueria,(312) 733-7772,132 S Ashland Ave,60607,Latin American,,yelp_2_356,Ashland,S,132.0,
Vincent,(773) 334-7168,1475 W Balmoral Ave,60640,American (New),,yelp_2_358,Balmoral,W,1475.0,
RPM Italian,(312) 222-1888,52 W Illinois St,60654,Italian,,yelp_2_360,Illinois,W,52.0,
Simply It,(773) 248-0884,2269 N Lincoln Ave,60614,Vietnamese,,yelp_2_362,Lincoln,N,2269.0,
Punta Cana Restaurant,(773) 292-7400,2200 N Kimball Ave,60647,Dominican,,yelp_2_364,Kimball,N,2200.0,
Sol de Mexico,(773) 282-4119,3018 N Cicero Ave,60641,Mexican,,yelp_2_366,Cicero,N,3018.0,
Zam Zam Middle Eastern Grill,(872) 802-3601,3461 N Clark St,60657,Middle Eastern,,yelp_2_367,Clark,N,3461.0,
The Happy Crab,(312) 985-8818,810 W Jackson Blvd,60607,Seafood,,yelp_2_369,Jackson,W,810.0,
The Bongo Room,(773) 489-0690,1470 N Milwaukee Ave,60622,American (New),,yelp_2_370,Milwaukee,N,1470.0,
Shokolad,(773) 276-6402,2524 W Chicago Ave,60622,Bakeries,,yelp_2_371,Chicago,W,2524.0,
Burger Bar,(312) 988-0162,1150 S Michigan Ave,60605,Burgers,,yelp_2_373,Michigan,S,1150.0,
La Palma Puerto Rican Restaurant,(773) 862-0886,1340 N Homan Ave,60651,Latin American,,yelp_2_374,Homan,N,1340.0,
Herb,(773) 944-9050,5424 N Broadway St,60640,Thai,,yelp_2_377,Broadway,N,5424.0,
Tank Noodle Restaurant,(773) 878-2253,4953 N Broadway,60640,Vietnamese,,yelp_2_382,Broadway,N,4953.0,
Mity Nice Bar & Grill,(312) 335-4745,835 N Michigan Ave,60611,American (New),,yelp_2_384,Michigan,N,835.0,
Pasta Palazzo,(773) 248-1400,1966 N Halsted St,60614,Italian,,yelp_2_386,Halsted,N,1966.0,
Bandera Restaurant,(312) 644-3524,535 N Michigan Ave,60611,Jazz & Blues,,yelp_2_387,Michigan,N,535.0,
Angelo’s Wine Bar,(773) 539-0111,3026 W Montrose Ave,60618,Gastropubs,,yelp_2_389,Montrose,W,3026.0,
Filippo’s Ristorante,(773) 528-2211,2211 N Clybourn Ave,60614,Italian,,yelp_2_392,Clybourn,N,2211.0,
Sam & George’s,(773) 935-4025,3000 N Lincoln Ave,60657,Breakfast & Brunch,,yelp_2_393,Lincoln,N,3000.0,
Chef Luciano,(312) 326-0062,49 E Cermak Rd,60616,Indian,,yelp_2_395,Cermak,E,49.0,
Q-BBQ,(773) 281-7800,714 W Diversey Pkwy,60614,Barbeque,,yelp_2_396,Diversey,W,714.0,
Fennel & Iris,(773) 687-8442,1652 W Belmont Ave,60657,American (New),,yelp_2_397,Belmont,W,1652.0,
Tre Kronor,(773) 267-9888,3258 W Foster Ave,60625,Breakfast & Brunch,,yelp_2_399,Foster,W,3258.0,
Esencia Urban Kitchen,(773) 472-8553,3351 N Broadway St,60657,Cafes,,yelp_2_402,Broadway,N,3351.0,
Buona Terra Ristorante,(773) 289-3800,2535 N California Ave,60647,Italian,,yelp_2_407,California,N,2535.0,
The Brass Monkey,(312) 763-3316,401 N Morgan St,60642,American (Traditional),,yelp_2_411,Morgan,N,401.0,
Big Star,(773) 235-4039,1531 N Damen,60622,Mexican,,yelp_2_412,Damen,N,1531.0,
Gilt Bar,(312) 464-9544,230 W Kinzie St,60654,American (New),,yelp_2_413,Kinzie,W,230.0,
Table Fifty-Two,(312) 573-4000,52 W Elm St,60610,American (Traditional),,yelp_2_415,Elm,W,52.0,
Glenns Diner,(773) 506-1720,1820 W Montrose Ave,60613,Diners,,yelp_2_417,Montrose,W,1820.0,
Bistrot Zinc,(312) 337-1131,1131 N State St,60610,French,,yelp_2_430,State,N,1131.0,
Runa Japanese,(773) 278-8887,2257 W North Ave,60647,Japanese,,yelp_2_433,North,W,2257.0,
Little Vietnam,(773) 944-0999,1132 W Bryn Mawr Ave,60640,Vietnamese,,yelp_2_435,Bryn Mawr,W,1132.0,
Angel’s,(312) 666-7253,230 S Ashland Ave,60607,Mexican,,yelp_2_436,Ashland,S,230.0,
El Faro Restaurant,(773) 277-1155,3936 W 31st St,60623,Mexican,,yelp_2_438,31St,W,3936.0,
Take Me Out,(312) 929-2509,1502 W 18th St,60608,Chinese,,yelp_2_439,18Th,W,1502.0,
Macello,(312) 850-9870,1235 W Lake St,60607,Italian,,yelp_2_441,Lake,W,1235.0,
Smashburger,(312) 800-9010,2031 N Clybourn,60614,Burgers,,yelp_2_447,Clybourn,N,2031.0,
Blue Frog’s Local 22,(312) 527-1200,22 E Hubbard St,60611,Bars,,yelp_2_448,Hubbard,E,22.0,
CoCo Vietnamese Sandwiches & Pho,(773) 516-4760,1613 W Lawrence Ave,60640,Vietnamese,,yelp_2_455,Lawrence,W,1613.0,
Lillie’s Q,(773) 772-5500,1856 W North Ave,60622,Barbeque,,yelp_2_457,North,W,1856.0,
Chez Moi,(773) 871-2100,2100 N Halsted St,60614,French,,yelp_2_463,Halsted,N,2100.0,
Rockit Burger Bar,(773) 645-4400,3700 N Clark St,60613,American (Traditional),,yelp_2_468,Clark,N,3700.0,
Dena Kitchen,(773) 697-3504,3306 W Fullerton Ave,60647,Thai,,yelp_2_471,Fullerton,W,3306.0,
Avec,(312) 377-2002,615 W Randolph St,60661,French,,yelp_2_476,Randolph,W,615.0,
La Villa,(773) 283-7980,3632 N Pulaski Rd,60641,Pizza,,yelp_2_477,Pulaski,N,3632.0,
Chicago’s Dog House,(773) 248-3647,816 W Fullerton Ave,60614,Hot Dogs,,yelp_2_480,Fullerton,W,816.0,
Tutto Fresco,(773) 281-1844,3829 N Broadway St,60613,Italian,,yelp_2_482,Broadway,N,3829.0,
Luxbar,(312) 642-3400,18 E Bellevue Pl,60611,American (Traditional),,yelp_2_483,Bellevue,E,18.0,
Tre Soldi,(312) 664-0212,212 E Ohio St,60611,Italian,,yelp_2_484,Ohio,E,212.0,
The Reservoir,(773) 275-4000,844 W Montrose,60613,American (New),,yelp_2_487,Montrose,W,844.0,
Fig & Olive,(312) 445-0060,104 E Oak St,60611,Mediterranean,,yelp_2_492,Oak,E,104.0,
Old Town Social,(312) 266-2277,455 W North Ave,60610,American (Traditional),,yelp_2_493,North,W,455.0,
Parachute,(773) 654-1460,3500 N Elston Ave,60618,Korean,,yelp_2_498,Elston,N,3500.0,
The Monarch,(773) 252-6053,1745 W North Ave,60622,American (New),,yelp_2_500,North,W,1745.0,
Perry’s,(312) 372-7557,180 N Franklin St,60606,Sandwiches,,yelp_2_503,Franklin,N,180.0,
Dimo’s Pizza,(773) 525-4580,1615 N Damen Ave,60647,Specialty Food,,yelp_2_505,Damen,N,1615.0,
Sushi Tokoro,(773) 654-3858,4750 N Western Ave,60625,Japanese,,yelp_2_508,Western,N,4750.0,
Mia Figlia,(773) 792-8300,5304 W Devon Ave,60646,Italian,,yelp_2_510,Devon,W,5304.0,
La Parrilla Colombian Steakhouse,(773) 777-7720,6427 W Irving Park Rd,60634,Latin American,,yelp_2_522,Irving,W,6427.0,
Coco’s Famous Deep Fried Lobster,(312) 786-2070,426 S Clark St,60605,Seafood,,yelp_2_524,Clark,S,426.0,
Sepia,(312) 441-1920,123 N Jefferson St,60661,American (New),,yelp_2_528,Jefferson,N,123.0,
Pho’s Spicier Thai Cuisine,(773) 755-1995,3332 N Lincoln Ave,60657,Thai,,yelp_2_529,Lincoln,N,3332.0,
Sunda,(312) 644-0500,110 W Illinois St,60654,Asian Fusion,,yelp_2_532,Illinois,W,110.0,
Tom Yum Cafe,(773) 270-5646,608 W Barry Ave,60657,Thai,,yelp_2_534,Barry,W,608.0,
Tarboush Mediterranean Grill,(773) 770-3599,1608 W North Ave,60622,Mediterranean,,yelp_2_535,North,W,1608.0,
Hub 51,(312) 828-0051,51 W Hubbard St,60654,American (New),,yelp_2_536,Hubbard,W,51.0,
m.henry,(773) 561-1600,5707 N Clark St,60660,Breakfast & Brunch,,yelp_2_538,Clark,N,5707.0,
Brgrbelly,(773) 283-7880,5739 W Irving Park Rd,60634,Burgers,,yelp_2_542,Irving,W,5739.0,
Nico Osteria,(312) 994-7100,1015 N Rush St,60611,Italian,,yelp_2_544,Rush,N,1015.0,
Restaurant Veneno De Nayarit,(773) 252-7200,1024 N Ashland Ave,60622,Seafood,,yelp_2_545,Ashland,N,1024.0,
Gio’s Cafe and Deli,(312) 225-6368,2724 S Lowe Ave,60616,Delis,,yelp_2_546,Lowe,S,2724.0,
Cafe Bella,(773) 292-5040,3311 W Fullerton Ave,60647,Latin American,,yelp_2_548,Fullerton,W,3311.0,
Cafe Selmarie,(773) 989-5595,4729 N Lincoln Ave,60625,Bakeries,,yelp_2_549,Lincoln,N,4729.0,
Las Tablas Colombian Steakhouse,(773) 871-2414,2942 N Lincoln Ave,60657,Steakhouses,,yelp_2_550,Lincoln,N,2942.0,
BIG & little’s Restaurant,(773) 857-6677,1034 W Belmont Ave,60657,American (New),,yelp_2_554,Belmont,W,1034.0,
Mish Grill,(773) 661-9766,1413 N Ashland Ave,60622,Mediterranean,,yelp_2_557,Ashland,N,1413.0,
Nhu Lan Bakery,(773) 878-9898,2612 W Lawrence Ave,60625,Vietnamese,,yelp_2_561,Lawrence,W,2612.0,
Star Kitchen,(312) 631-3795,3110 S Shields Ave,60616,Asian Fusion,,yelp_2_564,Shields,S,3110.0,
Del Seoul,(773) 248-4227,2568 N Clark St,60614,Korean,,yelp_2_565,Clark,N,2568.0,
Allende Restaurant,(773) 477-7114,2408 N Lincoln Ave,60614,Mexican,,yelp_2_566,Lincoln,N,2408.0,
Bistro Dre,(773) 697-9067,2965 N Lincoln Ave,60657,Desserts,,yelp_2_567,Lincoln,N,2965.0,
Uncommon Ground,(773) 929-3680,3800 N Clark St,60613,Bars,,yelp_2_569,Clark,N,3800.0,
Bongiorno’s Italian Deli & Pizzeria,(312) 755-1255,405 N Wabash Ave,60611,Pizza,,yelp_2_570,Wabash,N,405.0,
Falafel & Grill,(773) 292-8888,1317 N Milwaukee Ave,60622,"Middle Eastern,Men's Clothing,Lounges",,yelp_2_573,Milwaukee,N,1317.0,
La Ciudad,(773) 728-2887,4515 N Sheridan Rd,60640,Mexican,,yelp_2_581,Sheridan,N,4515.0,
The Bongo Room,(312) 291-0100,1152 S Wabash Ave,60605,Breakfast & Brunch,,yelp_2_583,Wabash,S,1152.0,
Diez Y Ocho,(312) 265-1630,2000 W 18th St,60608,Chicken Wings,,yelp_2_584,18Th,W,2000.0,
Ramen-san,(312) 377-9950,59 W Hubbard St,60654,Ramen,,yelp_2_585,Hubbard,W,59.0,
Compass Bar,(773) 248-3230,433 W Diversey Pkwy,60614,Pizza,,yelp_2_590,Diversey,W,433.0,
Ora,(773) 506-2978,5143 N Clark St,60640,Sushi Bars,,yelp_2_591,Clark,N,5143.0,
Rose Angelis,(773) 296-0081,1314 W Wrightwood Ave,60614,Italian,,yelp_2_592,Wrightwood,W,1314.0,
Janik’s Cafe,(773) 276-7930,2011 W Division St,60622,American (Traditional),,yelp_2_594,Division,W,2011.0,
La Plena Restaurant,(773) 276-5795,2617 W Division St,60622,Puerto Rican,,yelp_2_596,Division,W,2617.0,
Francesca’s On Taylor,(312) 829-2828,1400 W Taylor St,60607,Italian,,yelp_2_606,Taylor,W,1400.0,
Sun Wah Bar-B-Que,(773) 769-1254,5041 N Broadway,60640,Chinese,,yelp_2_610,Broadway,N,5041.0,
Slurping Turtle,(312) 464-0466,116 W Hubbard St,60654,Japanese,,yelp_2_611,Hubbard,W,116.0,
Talay Chicago,(312) 733-0812,1222 W Madison St,60607,Thai,,yelp_2_614,Madison,W,1222.0,
La Oaxaqueña,(773) 545-8585,3382 N Milwaukee Ave,60641,Mexican,,yelp_2_616,Milwaukee,N,3382.0,
Jess Cafe,(773) 637-2717,5819 W Belmont Ave,60634,Chinese,,yelp_2_621,Belmont,W,5819.0,
Aquitaine,(773) 698-8456,2221 N Lincoln Ave,60614,American (Traditional),,yelp_2_623,Lincoln,N,2221.0,
Labriola Chicago: La Stanza Ristorante and Labriola Cafe,(312) 955-3100,535 N Michigan Ave,60611,Italian,,yelp_2_624,Michigan,N,535.0,
GT Fish & Oyster,(312) 929-3501,531 N Wells St,60654,Seafood,,yelp_2_627,Wells,N,531.0,
Kaiser Tiger,(312) 243-3100,1415 W Randolph St,60607,American (New),,yelp_2_628,Randolph,W,1415.0,
Anna’s Asian Grill & Sushi Bar,(773) 975-3404,1804 W Irving Park Rd,60613,Sushi Bars,,yelp_2_630,Irving,W,1804.0,
Folklore Argentine Grill,(773) 292-1600,2100 W Division St,60622,Argentine,,yelp_2_635,Division,W,2100.0,
In-On Thai,(773) 857-2475,3821 N Broadway St,60613,Thai,,yelp_2_636,Broadway,N,3821.0,
King Garden,(773) 745-3333,6954 W North Ave,60707,Chinese,,yelp_2_637,North,W,6954.0,
Gale Street Inn,(773) 725-1300,4914 N Milwaukee Ave,60630,American (Traditional),,yelp_2_638,Milwaukee,N,4914.0,
Roka Akor - Chicago,(312) 477-7652,456 N Clark St,60654,Sushi Bars,,yelp_2_639,Clark,N,456.0,
Asian Outpost,(312) 662-1100,1315 S Wabash Ave,60605,Sushi Bars,,yelp_2_643,Wabash,S,1315.0,
Wise Owl Drinkery & Cookhouse,(312) 374-8915,324 S Racine Ave,60607,Cocktail Bars,,yelp_2_646,Racine,S,324.0,
