id;cluster_id;title;description;brand;Part Number;Sub-Category;Category;Generation;Capacity;Spindle Speed;Manufacturer;price
6281878;6704; Gigabyte AORUS GeForce GTX 1060 Xtreme Edition 6G (rev. 2.0) - Prijzen @NL Tweakers@NL;;Gigabyte;GV-N1060AORUS X-6GD (REV. 2);;Video cards;Gigabyte AORUS GeForce GTX 1060 Xtreme Edition 6G;;;;€ 358,-
4986244;10256577; Intronics CAT6 UTP patchkabel paars Lengte: 15.00 m - Vraag & Aanbod @NL Tweakers@NL;;Intronics;;;Cables;Intronics CAT6 UTP patchkabel paars Lengte: 15.00 m;;;;
11328053;10506166; Equip S/STP Cat.6 1.0m Yellow - Vraag & Aanbod @NL Tweakers@NL;;Equip;;;Cables;Equip S/STP Cat.6 1.0m Yellow;;;;
11671220;913589; Toshiba Exceria Micro-SD 16GB - Alternatieven @NL Tweakers@NL;;Toshiba;SD-CX16UHS1(6;;Memory cards;Toshiba Exceria Micro-SD 16GB;;;;
10505101;7845960; VRS Design High Pro Shield Samsung Galaxy S8 - Light Silver Prijzen @NL Tweakers@NL;;VRS Design;;;Smartphonehoesjes;VRS Design High Pro Shield Samsung Galaxy S8;;;;€ 14,43
8679458;621746; Bosch KIL24V60 - Reviews @NL Tweakers@NL;;Bosch;;;Refrigerators;Bosch KIL24V60;;;;
13601179;2543844; Intermec PX4i (PX4C010000000040) - Alternatieven @NL Tweakers@NL;;Intermec;PX4C010000000040;;Printers;Intermec PX4i;;;;
14842649;234597; Samsung LC27FG73 Zwart - Reviews @NL Tweakers@NL;;Samsung;LC27FG73FQUX, LC27FG73FQUXEN;;Monitors;Samsung LCxxFG73;;;;
14422061;6035257; Jamo S 608 HCS 3 (Bruin) - Specificaties @NL Tweakers@NL;;Jamo;;;Speakers;Jamo S 608 HCS 3;;;;
7575222;10038450; Antec GX300 Window Zwart - Vraag & Aanbod @NL Tweakers@NL;;Antec;0-761345-15331-7;;Enclosures;Antec GX300;;;;
13112132;153750; HP 461288-001, 750GB - Prijzen @NL 461288-001 Tweakers@NL;;HP;461288-001;;Internal hard drives;HP 750GB 3.5 7200 rpm DP SAS;;;;€ 288,95
11528167;1213347; IBM S3500 480GB SATA 3.5 MLC HS - Prijzen @NL Tweakers@NL;;IBM;00AJ470;;Solid state drives;IBM S3500 480GB SATA 3.5 MLC HS;;;;€ 1.566,95
13705866;3437220; Sharp R-742(IN)W - Reviews @NL Tweakers@NL;;Sharp;R-742INW;;Magnetrons;Sharp R-742(IN)W;;;;
10041976;653853; Seagate Backup Plus Hub 8TB Zwart - Specificaties @NL Tweakers@NL;;Seagate;STEL8000200;Backup Plus;External hard drives;Seagate Backup Plus Hub;;;;
13777409;432591; Acer XR342CK Zilver, Zwart - Prijzen @NL Zilver Tweakers@NL;;Acer;UM.CX2EE.005;;Monitors;Acer XR342CK;;;;€ 999,-
3226720;264111; Nillkin Bazaar Leather Case Apple iPhone 6 Plus Goud - Specificaties @NL Tweakers@NL;;Nillkin;;;Smartphonehoesjes;Nillkin Bazaar Leather Case Apple iPhone 6 Plus;;;;
4498908;441454; Kingston ValueRAM KVR800D2D4P6K2/8G - Alternatieven @NL Tweakers@NL;;Kingston;KVR800D2D4P6K2/8G;ValueRAM;Memory internal;Kingston ValueRAM KVR800D2D4P6K2/8G;;;;
10356614;1002633; Neovo TX-22 Zwart - Prijzen @NL Tweakers@NL;;Neovo;TX-22, TX22B011E1000;;Monitors;Neovo TX-22;;;;€ 990,99
3954057;490908; Shure SRH940 (Zilver) - Reviews @NL tnleeuw Userreviews Tweakers@NL;;Shure;SRH940-E;;Headphones;Shure SRH940;;;;
12088375;1346137; Siemens SN64M030EU - Vraag & Aanbod @NL Tweakers@NL;;Siemens;;;Dishwashers;Siemens SN64M030EU;;;;
15557099;12018192; Dell MTV7G, 300GB - Vraag & Aanbod @NL Tweakers@NL MTV7G;;Dell;MTV7G;;Internal hard drives;Dell MTV7G;;;;
1792170;4853183; Nillkin DisplayFolio Tempered Glass H+ Pro Samsung Galaxy A3 2017 - Prijzen @NL Tweakers@NL;;Nillkin;;;Smartphone-accessories;Nillkin DisplayFolio Tempered Glass H+ Pro Samsung Galaxy A3 2017;;;;€ 27,40
6632112;1741994; Lowepro Toploader Zoom 50 AW II - Prijzen @NL Tweakers@NL;;Lowepro;;;Camera bags;Lowepro Toploader Zoom 50 AW II;;;;€ 55,50
1810340;13403393; HP 495604-B21 - Prijzen @NL Tweakers@NL;;HP;;;Memory internal;HP 495604-B21;;;;€ 1.442,82
14512111;11705456; Filco Majestouch 2 - Reviews @NL InflatableMouse Userreviews Tweakers@NL;;Filco;4515213007938;;Keyboards;Filco Majestouch 2;;;;
262521;218916; LG 22MB67PY Zwart - Prijzen @NL Tweakers@NL;;LG;;;Monitors;LG 22MB67PY;;;;€ 284,57
10117410;8446243; Ergoline Bobby2 - Reviews @NL Tweakers@NL;;Ergoline;EL3000;;Keyboards;Ergoline Bobby2;;;;
9973030;543241; HP Smart Array P441/4GB FBWC 12Gb 2-ports Ext SAS Controller - Prijzen @NL Tweakers@NL;;HP;;Smart Array;Harde Schijf Controllers;HP Smart Array P441/4GB FBWC 12Gb 2-ports Ext SAS Controller;;;;€ 632,95
6318168;47718; Cisco Catalyst 2960X (24x1000Base-T, 2xSFP+ Uplink, Lan Base version) - Prijzen @NL (24x1000Base-T Tweakers@NL Uplink;;Cisco;;Catalyst;Netwerk switches;Cisco Catalyst 2960X;;;;€ 2.098,05
5670442;634823; Kï¿œnig High Speed HDMI 1.3 kabel 3.0m - Specificaties @NL Tweakers@NL;;König;;;Cables;König High Speed HDMI 1.3 kabel;;;;
12517309;12392382; Bookeen Cover Cybook Odyssey - Rood Specificaties @NL Tweakers@NL;;Bookeen;BNCOVERCOY-RD;;Tablet accessories;Bookeen Cover Cybook Odyssey;;;;
11011700;732228; MicroStorage SSDM240I349 240GB - Prijzen @NL Tweakers@NL;;MicroStorage;SSDM240I349;;Solid state drives;MicroStorage SSDM240I349;;;;€ 203,20
15679190;954241; BananaGold 1.0m HDMI - Prijzen @NL Tweakers@NL;;BananaGold;;;Cables;BananaGold 1.0m HDMI;;;;
6096804;9320295; Samsung M471A5143EB0-CPB - Specificaties @NL Tweakers@NL;;Samsung;;;Memory internal;Samsung M471A5143EB0-CPB;;;;
11838309;1067316; Samsung 830 series Desktop Upgrade Kit 64GB - Specificaties @NL Tweakers@NL;;Samsung;MZ-7PC064D, MZ-7PC064D/EU;830 series;Solid state drives;Samsung 830 series Desktop Upgrade Kit;;;;
3310449;253842; Asus ROG GL552VW-CN104T - Discussies & Vragen @NL Tweakers@NL;;Asus;;ROG GL552VW;Laptops;Asus ROG GL552VW-CN104T;;;;
5646311;205953; HP 785075-B21, 900GB - Prijzen @NL Tweakers@NL 785075-B21;;HP;785075-B21;;Internal hard drives;HP 785075-B21;;;;€ 755,13
2085882;11770710; Lindy USB 3.1 C/VGA - Prijzen @NL Tweakers@NL;;Lindy;;;Cables;Lindy USB 3.1 C/VGA;;;;€ 31,99
7967479;1786892; Thecus N12850 (WD-drives) 24TB - Alternatieven @NL Tweakers@NL;;Thecus;N12850/24TBNLWD;;Network storage;Thecus N12850;;;;
11227820;84626; Kingston IronKey Basic S1000 128GB Zilver - Prijzen @NL Tweakers@NL;;Kingston;;IronKey;Usb-sticks;Kingston IronKey Basic S1000;;;;€ 895,40
9543178;1360320; XFX HD 5830 1GB GDDR5 PCI-E - Reviews @NL limp_1983 Userreviews Tweakers@NL;;XFX;HD-583X-ZAFA;;Video cards;XFX HD 5830 1GB GDDR5 PCI-E;;;;
3315205;371484; Duracell Alkaline AAA - 24 Stuks Prijzen @NL Tweakers@NL;;Duracell;2400TR24;;Camera-accessories;Duracell Alkaline AAA - 24 Stuks;;;;€ 26,99
5027462;332171; Samsung Toner CLP-510D2Y, Origineel (Geel) - Specificaties @NL Tweakers@NL CLP-510D2Y;;Samsung;CLP-510D2Y;;Printer cartridges;Samsung Toner CLP-510D2Y, Origineel (Geel);;;;
6064095;525719; Ducky Pocket (MX Speed (Silver)) - Prijzen @NL Tweakers@NL;;Ducky;;;Keyboards;Ducky Pocket;;;;€ 116,16
13884910;15632643; Lindy 40m, VGA - Prijzen @NL Tweakers@NL 40m;;Lindy;;;Cables;Lindy 40m, VGA - VGA;;;;€ 203,01
778091;1380424; AVM FRITZ!Box 7270 (Int'l Edition) - Prijzen @NL Tweakers@NL;;AVM;20002427;FRITZ!Box;Modems and routers;AVM Fritz!box 7270;;;;€ 282,94
7592727;698136; Denon AVR-X6200W Zilver - Prijzen @NL Tweakers@NL;;Denon;;;Amplifiers and receivers;Denon AVR-X6200W;;;;€ 2.299,-
2569416;396287; Emtec A106 AB Black Bird 8GB Geel - Prijzen @NL Tweakers@NL;;Emtec;ECMMD8GA106;;Usb-sticks;Emtec A106 AB Black Bird;;;;
13913854;1743233; Nikon 1 NIKKOR VR 10-30mm f/3.5-5.6 - Nieuwsberichten @NL Tweakers@NL;;Nikon;;;Camera lenses;Nikon 1 NIKKOR VR 10-30mm f/3.5-5.6;;;;
12407540;171772; QNAP Turbo vNAS TVS-1282 (Ci7-6700, 64GB ram, 450W) - Prijzen @NL Tweakers@NL ram (Ci7-6700;;QNAP;TVS-1282-I7-64G-45, TVS-1282-I7-64G-450W;Turbo vNAS;Network storage;QNAP Turbo vNAS TVS-1282;;;;€ 3.950,85
17543316;4737071; Frilec BERLIN168-9A++ RETROBLUE - Reviews @NL Tweakers@NL;;Frilec;;;Refrigerators;Frilec BERLIN168-9A++ RETROBLUE;;;;
404329;1615669; Philips HR7629/90 - Prijzen @NL Tweakers@NL;;Philips;;;Kitchen machines;Philips HR7629/90;;;;€ 85,-
13530896;3200462; Blitzkrieg - Attack Is The Only Defense, PC Prijzen @NL Defense Tweakers@NL;;;;;Games;Blitzkrieg - Attack Is The Only Defense;;;;€ 39,99
15476039;14735776; Lindy 1m, 3.5mm - Specificaties @NL Tweakers@NL 1m;;Lindy;;;Cables;Lindy 1m, 3.5mm;;;;
6872541;656303; Kingston HyperX Fury SSD 240GB - Alternatieven @NL Tweakers@NL;;Kingston;SHFS37A/240G;HyperX Fury;Solid state drives;Kingston HyperX Fury SSD;;;;
17365386;156451; Arctic Alpine 11 Pro - Prijzen @NL Tweakers@NL;;Arctic;Alpine 11 Pro, UCACO-AP111-GBB01;;Processorkoeling;Arctic Alpine 11 Pro;;;;€ 22,44
1275984;139055; Seagate Cheetah 15K.7 ST3600057SS, 600GB - Prijzen @NL Tweakers@NL ST3600057SS;;Seagate;ST3600057SS;Cheetah;Internal hard drives;Seagate Cheetah 15K.7;;;;€ 282,95
11916905;1352610; Sony SBH70 (Wit) - Alternatieven @NL Tweakers@NL;;Sony;;;Headphones;Sony SBH70;;;;
6014238;185443; HP 517355-001, 600GB - Prijzen @NL 517355-001 Tweakers@NL;;HP;;;Internal hard drives;HP 517355-001;;;;
8428417;642432; HP Intel Xeon E5504 Boxed - Prijzen @NL Tweakers@NL;;HP;490457-B21;;Processors;HP Intel Xeon E5504;;;;€ 349,59
66583;670051; Silverstone SST-MR01S monitor stand (Zwart) - Prijzen @NL Tweakers@NL;;Silverstone;SST-MR01B;;Computer accessories;Silverstone SST-MR01S monitor stand;;;;€ 74,97
2344900;1121658; Sandisk SSD Plus (MLC) 120GB - Reviews @NL Foritain Userreviews Tweakers@NL;;Sandisk;;;Solid state drives;Sandisk SSD Plus (MLC);;;;
427976;792039; Corsair Force LS 120GB - Prijzen @NL Tweakers@NL;;Corsair;CSSD-F120GBLS;Force;Solid state drives;Corsair Force LS;;;;€ 80,99
9629885;71553; TP-Link 300 Mbps AV500 Wi-Fi Powerline extender TL-WPA4220 - Specificaties @NL Tweakers@NL;;TP-Link;6935364032265, TL-WPA4220;;Powerline;TP-Link 300 Mbps AV500 Wi-Fi Powerline extender;;;;
1061302;3437220; Sharp R-742(IN)W - Prijzen @NL Tweakers@NL;;Sharp;R-742INW;;Magnetrons;Sharp R-742(IN)W;;;;€ 112,62
11271283;96139; Asus VivoBook R416SA-FA0033T - Specificaties @NL Tweakers@NL;;Asus;;VivoBook R416SA;Laptops;Asus VivoBook R416SA-FA0033T;;;;
15545416;40450; Transcend TS2GDL2950 - Vraag & Aanbod @NL Tweakers@NL;;Transcend;TS2GDL2950;;Memory internal;Transcend TS2GDL2950;;;;
11459976;1166335; HP 454416-001, 1TB - Prijzen @NL 454416-001 Tweakers@NL;;HP;454416-001;;Internal hard drives;HP ATA;;;;€ 435,54
16251196;12933; Corsair Force LE200 (V1) 120GB - Specificaties @NL Tweakers@NL;;Corsair;;Force;Solid state drives;Corsair Force LE200 (V1);;;;
17547888;15548623; qMust Docking station met Micro-USB aansluiting - Black Vraag & Aanbod @NL Tweakers@NL;;qMust;qM-DS-MICROUSB-BLK;;Smartphone-accessories;qMust Docking station met Micro-USB aansluiting;;;;
5975973;602221; Siemens SN64D004EU - Prijzen @NL Tweakers@NL;;Siemens;SN64D004EU;;Dishwashers;Siemens SN64D004EU;;;;€ 438,-
16438183;8459209; Advanced Cable Technology FB8830 - Prijzen @NL Tweakers@NL;;Advanced Cable Technology;FB8830;;Cables;Advanced Cable Technology FB8830;;;;€ 91,84
1750800;854506; HP AMD Opteron 2352 Boxed - Prijzen @NL Tweakers@NL;;HP;;;Processors;HP AMD Opteron 2352;;;;
14510939;215173; HP Smart Array P600 - Prijzen @NL Tweakers@NL;;HP;337972-B21;Smart Array;Harde Schijf Controllers;HP Smart Array P600;;;;
3018124;8512771; Alcasa VGA/VGA M/F 10m - Reviews @NL Tweakers@NL;;Alcasa;;;Cables;Alcasa VGA/VGA M/F 10m;;;;
4549720;99226; Dell 400-25619, 1TB - Prijzen @NL Tweakers@NL 400-25619;;Dell;;;Internal hard drives;Dell 400-25619;;;;
12732181;90730; WD My Passport for Mac 1TB Zwart - Alternatieven @NL Tweakers@NL;;WD;;My Passport;External hard drives;WD My Passport for Mac;;;;
11125248;5916518; Sniper Elite 3, PC (Windows) - Prijzen @NL 3 Tweakers@NL;;505 Games;;;Games;Sniper Elite 3;;;;€ 27,99
4141137;1157572; HP AMD Opteron 6176SE Boxed - Prijzen @NL Tweakers@NL;;HP;585322-B21;;Processors;HP AMD Opteron 6176SE;;;;€ 344,79
14636874;471294; Epson TM-U220A (C31C516057LG) - Specificaties @NL Tweakers@NL;;Epson;C31C516057LG;;Printers;Epson TM-U220A;;;;
283464;1442705; HP Proliant DL360 G9 (774435-425) - Prijzen @NL Tweakers@NL;;HP;774435-425;Proliant;Servers;HP Proliant DL360 G9 (774435-425);;;;€ 1.806,53
8440226;6519413; Infocus IN1146 LED Projector - Prijzen @NL Tweakers@NL;;Infocus;;;Beamers;Infocus IN1146 LED Projector;;;;€ 748,99
15617042;1688847; Spigen Tough Armor Samsung Galaxy S6 edge Case - SGP11432 Satin Silver Vraag & Aanbod @NL Tweakers@NL;;Spigen;SGP11432;;Smartphonehoesjes;Spigen Tough Armor Samsung Galaxy S6 edge Case;;;;
12536463;76522; MSI Radeon RX 580 Gaming X 8GB - Prijzen @NL Tweakers@NL;;MSI;;;Video cards;MSI Radeon RX 580 Gaming X 8GB;;;;€ 482,95
11109998;94702; Transcend TS1GCQ3055 - Alternatieven @NL Tweakers@NL;;Transcend;TS1GCQ3055;;Memory internal;Transcend TS1GCQ3055;;;;
3755803;10199981; Skylanders Trap Team Starter Pack, PlayStation 3 - Alternatieven @NL Tweakers@NL Pack;;Activision;;Skylanders;Games;Skylanders Trap Team Starter Pack;;;;
13354076;13486; Canon Charger CB-2LXE - Prijzen @NL Tweakers@NL;;Canon;;;Camera-accessories;Canon Charger;;;;€ 65,99
3510674;13949264; Wolfenstein II: The New Colossus, PlayStation 4 - Prijzen @NL Colossus Tweakers@NL;;Bethesda Softworks;;;Games;Wolfenstein II: The New Colossus;;;;€ 45,99
5060477;1790669; HP Roar Plus (Zwart) - Prijzen @NL Tweakers@NL;;HP;G0H96AA, G0H96AA#ABB, G0H96AAABB;;Wireless speakers;HP Roar Plus;;;;€ 72,89
2490450;10578274; Asus EN7600 GT/2DHT - Downloads en Updates @NL Tweakers@NL;;Asus;;;Video cards;Asus EN7600 GT/2DHT;;;;
2789244;651295; qMust Samsung Galaxy J7 (2017) Wallet Case - Prijzen @NL Tweakers@NL;;qMust;;;Smartphonehoesjes;qMust Samsung Galaxy J7 (2017) Wallet Case;;;;€ 19,95
14415152;13463; Crucial m4 CT128M4SSD2 128GB - Specificaties @NL Tweakers@NL;;Crucial;CT128M4SSD2;m4;Solid state drives;Crucial m4 SSD;;;;
11446807;10574744; qMust Lenovo A Plus Wallet Case - TPU frame Rood Prijzen @NL Tweakers@NL;;qMust;qM-WCTPU-LEN-APL-RD;;Smartphonehoesjes;qMust Lenovo A Plus Wallet Case - TPU frame;;;;€ 9,18
5018774;175627; Cisco Catalyst 4500 1300 WAC Power Supply (PoE) - Prijzen @NL Tweakers@NL;;Cisco;PWR-C45-1300ACV;;Power supplies;Cisco Catalyst 4500 1300 WAC Power Supply (PoE);;;;€ 602,13
6935981;8446884; Ewent Ultradun Bluetooth Keyboard (Azerty BE) - Prijzen @NL Tweakers@NL;;Ewent;;;Keyboards;Ewent Ultradun Bluetooth Keyboard;;;;€ 27,60
14028603;94057; Seagate Expansion Portable 4TB Zwart - Reviews @NL Tweakers@NL;;Seagate;;Expansion;External hard drives;Seagate Expansion Portable;;;;
2897403;11531525; Dell NVIDIA Quadro K6000 12GB - Specificaties @NL Tweakers@NL;;Dell;490-BCGB;;Video cards;Dell NVIDIA Quadro K6000 12GB;;;;
9730388;4158691; HP Intel Xeon E5440 - Prijzen @NL Tweakers@NL;;HP;466106-B21;;Processors;HP Intel Xeon E5440;;;;€ 1.051,97
537633;10118721; IBM 90Y9000, 2TB - Prijzen @NL Tweakers@NL 90Y9000;;IBM;;;Internal hard drives;IBM 90Y9000;;;;€ 446,49
65370;1339758; Samsung NX1100 + 20-50mm i-function f3.5-5.6 II Zwart - Specificaties @NL Tweakers@NL;;Samsung;;;System cameras;Samsung NX1100;;;;
13770746;707519; Sharkoon Shark Force Zwart - Reviews @NL M. van Aken Userreviews Tweakers@NL;;Sharkoon;4044951013975;;Mice;Sharkoon Shark Force;;;;
5232854;324766; Nintendo Switch Zwart - Prijzen @NL Tweakers@NL;;Nintendo;;;Consoles;Nintendo Switch;;;;€ 506,99
13949705;8512771; Alcasa VGA/VGA M/F 10m - Specificaties @NL Tweakers@NL;;Alcasa;P4321-10;;Cables;Alcasa VGA/VGA M/F 10m;;;;
9244186;190643; HP C8563A Magenta Imaging Drum - Prijzen @NL Tweakers@NL;;HP;C8563A;;Printer cartridges;HP C8563A Magenta Imaging Drum;;;;€ 592,95
11966174;472642; Seagate Laptop HDD, 4TB - Prijzen @NL HDD Tweakers@NL;;Seagate;;;Internal hard drives;Seagate Laptop HDD;;;;€ 230,-
11739663;78950; HP 571516-001, 250GB - Prijzen @NL Tweakers@NL 571516-001;;HP;;;Internal hard drives;HP 571516-001;;;;€ 190,21
16094966;452805; HP Xeon E5530 Boxed - Prijzen @NL Tweakers@NL;;HP;495912-B21;;Processors;HP Xeon E5530;;;;€ 556,54
11767260;1484176; Philio Motion Sensor Inbouw Rond - Prijzen @NL Tweakers@NL;;Philio;;;Sensors;Philio Motion Sensor Inbouw Rond;;;;€ 54,45
3999267;961160; Makita DDF481 - Prijzen @NL Tweakers@NL;;Makita;;;Accuboormachines;Makita DDF481;;;;€ 427,-
9824038;706242; HP 687045-001, 3TB - Prijzen @NL 687045-001 Tweakers@NL;;HP;687045-001;;Internal hard drives;HP 687045-001;;;;
15509244;1612707; Microsoft Wired Desktop 600 (Qwerty UK) - Prijzen @NL Tweakers@NL;;Microsoft;APB-00006;;Keyboards;Microsoft Wired Desktop 600, DE;;;;€ 31,90
9614520;4205543; HP Intel Xeon E5-2667 - Prijzen @NL Tweakers@NL;;HP;670537-001;;Processors;HP Intel Xeon E5-2667;;;;€ 3.279,16
836243;263060; Garmin Forerunner 25 Zwart/Paars - Small Prijzen @NL Tweakers@NL;;Garmin;010-01353-30;Forerunner;Wearables;Garmin Forerunner 25;;;;€ 150,-
5183488;5984245; The Book of Unwritten Tales 2, PC (Windows) - Prijzen @NL 2 Tweakers@NL;;;;;Games;The Book of Unwritten Tales 2;;;;€ 28,11
12095652;4868858; Nillkin New Sparkle Book Case voor Google Pixel Zwart - Prijzen @NL Tweakers@NL;;Nillkin;;;Smartphonehoesjes;Nillkin New Sparkle Book Case voor Google Pixel;;;;€ 22,40
4082313;1157566; CablesToGo 2m Cat5e Patch Cable - Prijzen @NL Tweakers@NL;;CablesToGo;;;Cables;CablesToGo 2m Cat5e Patch Cable;;;;€ 21,40
244076;1080475; Canon 500D 77mm Close-up Lens - Prijzen @NL Tweakers@NL;;Canon;2824A001, 2824A001AA;;Camera-accessories;Canon 500D 77mm Close-up Lens;;;;€ 191,18
3394690;626768; New Nintendo 3DS oplaadstation Wit - Prijzen @NL Tweakers@NL;;Nintendo;2211366;3DS;Game-accessories;New Nintendo 3DS oplaadstation;;;;€ 14,98
12503446;5693303; Power Dynamics PDC-70 - Prijzen @NL Tweakers@NL;;Power Dynamics;172.703;;Media players;Power Dynamics PDC-70;;;;€ 149,-
6762446;1376825; Fujitsu S26361-F3697-L616 - Prijzen @NL Tweakers@NL;;Fujitsu;;;Memory internal;Fujitsu S26361-F3697-L616;;;;€ 303,71
3460007;214566; Kingston 2GB Elite Pro SD Card 50x - Prijzen @NL Tweakers@NL;;Kingston;;;Memory cards;Kingston 2GB Elite Pro SD Card 50x;;;;
188269;1442705; HP Proliant DL360 G9 (774435-425) - Prijzen @NL Tweakers@NL;;HP;774435-425;Proliant;Servers;HP Proliant DL360 G9 (774435-425);;;;€ 2.655,95
10542412;623308; HP 748387-B21, 600GB - Prijzen @NL 748387-B21 Tweakers@NL;;HP;748387-B21;;Internal hard drives;HP 748387-B21;;;;€ 520,-
8791052;14000573; Braun Multiquick 5 WK 500 (Wit) - Prijzen @NL Tweakers@NL;;Braun;;;Kettles;Braun Multiquick 5 WK 500;;;;€ 62,94
2338713;1370819; Hama HDMI A - D Prijzen @NL Tweakers@NL;;Hama;;;Cables;Hama HDMI A - HDMI D;;;;€ 29,99
488158;12067398; Equip Cat.5e U/UTP 5.0m - Reviews @NL Tweakers@NL;;Equip;;;Cables;Equip Cat.5e U/UTP 5.0m;;;;
16255598;1668348; Cisco Catalyst 2960X (24x1000Base-T, 2xSFP Uplink & 2x100Base-T, 8Poort PoE, 92watt, Lan Base version) - Prijzen @NL 92watt PoE 2x100Base-T (24x1000Base-T Tweakers@NL;;Cisco;;Catalyst;Netwerk switches;Cisco Catalyst 2960X;;;;€ 1.753,95
3204282;1213347; IBM S3500 480GB SATA 3.5 MLC HS - Alternatieven @NL Tweakers@NL;;IBM;;;Solid state drives;IBM S3500 480GB SATA 3.5 MLC HS;;;;
4559843;1172736; Spigen Apple iPhone X Hoesje Neo Hybrid Zwart - Prijzen @NL Tweakers@NL;;Spigen;057CS22166;;Smartphonehoesjes;Spigen Apple iPhone X Hoesje Neo Hybrid;;;;€ 29,95
13493449;517002; Epson TM-U220A (C31C516007LG) - Prijzen @NL Tweakers@NL;;Epson;C31C516007LG;;Printers;Epson TM-U220A;;;;€ 353,32
5774270;100786; Supermicro CBL-0157L - Prijzen @NL Tweakers@NL;;Supermicro;CBL-0157L;;Cables;Supermicro CBL-0157L;;;;€ 21,75
9246041;191224; Philips Wake-up Light (HF3520) - Reviews @NL fl1p Userreviews Tweakers@NL;;Philips;HF3520, HF3520/01;;Gadgets;Philips Wake-up Light (HF3520);;;;
12558262;1223496; Casio KL-820 - Prijzen @NL Tweakers@NL;;Casio;;;Printers;Casio KL-820;;;;€ 55,99
4844420;105685; Lenovo ThinkVision X24 (60CFGAT1CH) Zwart - Specificaties @NL Tweakers@NL;;Lenovo;60CFGAT1CH;ThinkVision;Monitors;Lenovo ThinkVision X24 (60CFGAT1CH) Zwart;;;;
11052151;1332746; Lenovo Tab 2 A10-30 (ZA0C0079DE) Blauw - Prijzen @NL Tweakers@NL;;Lenovo;;Tab 2 A10-30;Tablets;Lenovo Tab 2 A10-30 (ZA0C0079DE);;;;€ 183,40
1668058;711544; Wahl Chrome Pro - Specificaties @NL Tweakers@NL;;Wahl;;;Razors;Wahl Chrome Pro;;;;
732365;12463316; Mede8er MED1000X3D WiFi Black 2TB - Prijzen @NL Tweakers@NL;;Mede8er;;;Media players;Mede8er MED1000X3D;;;;€ 301,95
2936017;11275893; Amiibo Marth, Nintendo Switch, Wii U - Prijzen @NL Marth Tweakers@NL Switch;;Nintendo;;;Games;Amiibo;;;;€ 17,98
10804441;389940; HP Intel Xeon E5420 - Prijzen @NL Tweakers@NL;;HP;457937-B21;;Processors;HP Intel Xeon E5420;;;;€ 72,54
