id;cluster_id;title;description;brand;Part Number;Sub-Category;Category;Generation;Capacity;Spindle Speed;Manufacturer;price
12467373;442228; ST3300655SS Seagate 300-GB 15K 3.5 3G SAS,  New ST3300655SS SAS 2  Wholesale Price ST3300655SS-2;Description:2 x Seagate Cheetah 300GB 3.5-inch 3G Serial Attached SCSI (SAS) Single Port Hot-Plug 15K 16MB Hard DrivePart Number(s)Manufacturer Part# ST3300655SS ;Seagate;ST3300655SS-2Pack;10K;Seagate HardDrive;SAS;300GB;15000RPM;Seagate;
11164184;83510; 516830-S21 HP 600-GB 6G 15K 3.5 NHP SAS HDD ; Description:HP 600GB 3.5-inch LFF Serial Attached SCSI (SAS)6G 15K Non-Hot-Plug DriveGenuine HPE number and firmwarePart Number(s) Option Part# 516830-B21 SmartBuy 516830-S21 Spare 517355-001 Assembly 516810-003 533871-003 Model# EF0600FARNA EF0600FATFF HUS156060VLS600 ST3600057SS;HP Enterprise;516830-S21;15K;Proliant Hard Drive;SAS NHP;600GB;15000RPM;;USD, $223.15
2360724;1109428; 517351-001 HP 300-GB 6G 15K 3.5 DP NHP SAS,  New 517351-001 SAS 5 Pack Wholesale Price ;Description:5 x 300GB 3.5-inch Serial Attached SCSI (SAS) LFF 6G Dual Port Non-Hot-Plug 15K Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 516824-B21 Spare Part# 517351-001 Assembly Part# 516810-001 Model# EF0300FARMU ;HP Enterprise;517351-001-5Pack;15K;Proliant Hard Drive;SAS NHP;300GB;15000RPM;;
15737728;1235869;  HP 80-GB 1.5G 7.2K 3.5 NHP SATA ; Description:5 x 80GB SATA Non-Hot-Plug 7.2K 3.5-inch Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 383410-B21 Spare 373311-001 Assembly 332649-003 Model# 6Y080M0;HP Enterprise;373311-001-5Pack;7.2K;Proliant Hard Drive;SATA NHP;8GB;7200RPM;;USD, $382.15
12700381;203535;  447600-B21 AMD Opteron 2356 2.3GHz DL365 G5; Description:1 x AMD Opteron 2356 DL365 G5(2.3GHz/4-core/2MB/75W)Full Processor Option KitPart Number(s)Option Part#447600-B21;HP Enterprise;447600-B21;Opteron;Proliant Processor;G5;;;;CAD, $358.74 CAD
7060400;1437204; 596207-B21 HP Opteron 6164HE BL465c G7 ; Description:HP AMD Opteronï¿½ 6164HE BL465c G7(1.7GHz/12-core/12MB/65W)Full Processor Option KitPart Number(s) Manufacturer Part# 596207-B21;HP Enterprise;596207-B21;Intel Xeon;Proliant Processor;G7;;;;CAD, $592.74 CAD
13551968;13343390; 341-2823 Dell 36-GB 15K 3G 3.5 SP SAS w/F9541,  Price 341-2823-10Pack New 341-2823 w/F9541 10 Pack Wholesale;Description:10 x 36GB 15K 3G SAS 3.5-inch HD Single Port (SP) Hot-Plug Dell Hard Drive in Dell F9541 3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s) Manufacturer Part# 341-2823 ;Dell;341-2823-10Pack;15K;Dell HardDrive;SAS;36GB;15000RPM;Dell;
9910658;3665865;   HP 9.1GB Ultra SCSI-3 10K; Description:9GB Ultra SCSI-3 Hot-Plug 10K Hard DriveIn HPE Drive tray (as pictured)Genuine serial number and firmwarePart Number(s): Option Part# 336381-001;HP Enterprise;336381-001;10K;Proliant HardDrive;Ultra SCSI-3;9.1GB;;HP/Compaq;USD, $59.45
549448;1070949; ST3146855SS Seagate 146-GB 15K 3.5 3G SP SAS HDD ; Description:Seagate Cheetah 146GB 3.5-inch 3G Serial Attached SCSI (SAS) Single Port Hot-Plug 15K 16MB Hard DrivePart Number(s) Manufacturer Part# ST3146855SS;Seagate;ST3146855SS;15K;Seagate HardDrive;SAS;146GB;15000RPM;Seagate;CAD, $127.08 CAD
10666288;3712865; HP 146197-B23 40/80-GB DLT8000  LVD ; Description:HP 40/80GB DLT8000 SCSI/LVD Ext CrbnPart Number(s) Option Part# 146197-B23 ;HP Enterprise;146197-B23;TapeDrive;Proliant;40/80GB;;;;CAD, $593.26 CAD
7950080;8741277; , H8DVC Dell 300-GB 6G 15K 2.5 SP SAS w/G176J New H8DVC w/G176J 5 Pack Wholesale Price H8DVC-5Pack;Description:5 x Dell 300GB 15K 6Gb/s 2.5-inch (SFF) SAS Hot-Plug Dell Hard Drive in Dell G176J 2.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s) Dell Part# H8DVC Seagate Part# ST9300653SS ;Dell;H8DVC-5Pack;15K;Dell HardDrive;SAS 2 SFF;300GB;15000RPM;Dell;
613089;160648; 416888-B21 HP Xeon 5130 2.0GHz ML350 G5,  New 416888-B21 G5 Wholesale Price 416888-B21;Description:HP Intel Xeon 5130 ML350 G5(2.0GHz/2-core/4MB/65W)Full Processor Option KitPart Number(s)Part# 416888-B21 ;HP Enterprise;416888-B21;G5;Proliant Processor;ML350;;;;
7066818;1368483; 598144-B21 HP Xeon E5503 2.0GHz BL280c   ; Description:HP Intelï¿½ Xeonï¿½ E5503 BL280c G6 (2.0GHz/2-core/80W/4MB)Full Processor Option KitPart Number(s)Manufacturer Part# 598144-B21;HP Enterprise;598144-B21;Intel Xeon;Proliant Processor;G6;;;;$213.85, USD
9254019;1051839; ST3300007FC Seagate 300-GB 10K FC-AL,  New ST3300007FC FC-AL Wholesale Price ST3300007FC;Description:Seagate 300GB 10K Fibre Channel40 pin 2GB/s HotSwap FCAL Hard DrivePart Number(s) Manufacturer Part# ST3300007FC ;Seagate;ST3300007FC;10K;Seagate HardDrive;Fibre Channel;300GB;;Seagate;
8775432;6988910; JU654 Dell 300-GB U320 SCSI HP 15K w/9D988,  Price JU654-5Pack w/9D988 5 Pack Wholesale JU654;Description:5 x 300GB 15000 RPM 80-Pin Hot-Swap 3.5-inch SCSI Dell Hard Drive in Dell 9D988 3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s):Manufacturer Part# JU654    ;Dell;JU654-5Pack;15K;Dell HardDrive;Ultra320;300 GB;;Dell;
12890377;2350110; , 416563-001 DL360 G5 DC Xeon 5150 2.66GHz 2.66GHz Wholesale 416563-001 Price 416563-001;Description:Proliant DL360 G5 1U Rack Mountable Server2.66GHz Xeon Dual-Core 5150 1GB DDR2Part Number(s)Hewlett-Packard Part# 416563-001 ;HP Enterprise;416563-001;DL360;Proliant Server SAS;G5;;;;
2240334;263334; 432151-001  72-GB 15K 3.5 SP N SAS,  Price 432151-001-2Pack New 432151-001 SAS 2 Pack Wholesale;Description:2 x 72GB Serial Attached SCSI (SAS) 3.5-inch Non-Hot-Plug 15K SP Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 432095-B21 Spare Part# 432151-001 Assembly Part# 443169-001 Model# DF072A4940 ;HP Enterprise;432151-001-2Pack;15K;Proliant Hard Drive;SAS NHP;72GB;15000RPM;Hewlett Packard;
8591776;201077; 392254-003 HP 146-GB 15K 3.5 SP SAS,  Price 392254-003-10Pack New 392254-003 SAS 10 Pack ;Description:10 x 146GB Serial Attached SCSI (SAS) 15K 3.5-inch Single Port Hot-Plug Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 375872-B21 Option Part# 375872-S21 Spare Part# 376595-001 Assembly Part# 443169-002 Assembly Part# 392254-003 Assembly Part# 375698-003 Assembly Part# 431943-003 Assembly Part# 481653-002 Model# DF146A4941 Model# DF146A9845 Model# DF146A8B57 Model# DF146ABAA9 Model# DF146BAFDU ;HP Enterprise;392254-003-10Pack;15K;Proliant HardDrive;SAS;146GB;15000RPM;Hewlett Packard;
1106457;981231; 506841-B21 HP Opteron 2384 2.7GHz DL185 G5 ; Description:HP AMD Opteronï¿½ 2384 DL185 G5 (2.7GHz/4-core/6MB/75W ACP)Full Processor Option KitPart Number(s)Manufacturer Part# 506841-B21;HP Enterprise;506841-B21;AMD Opteron;Proliant Processor;G5;;;;CAD, $254.74 CAD
15564752;11430675;  230769-001 BL20P 3-Phase Enclosure; Description: Three-Phase Power Enclosure with six hot plug power supplies Option Part# 230769-001 ;HP Enterprise;230769-001;Blade;Proliant;Enclosure;;;;$536.25, USD
12204863;298291;  HP 300-GB 12G 15K 2.5 DP SAS HDD,  New  HDD Wholesale Price ;Description:HP 300GB 2.5-inch Serial Attached SCSI (SAS) SFF12G Dual Port Enterprise Hot-Plug 15K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)Option Part# 785099-B21Spare Part# 785407-001 ;HP Enterprise;785099-B21;15K;Proliant HardDrive;SAS;300GB;15000RPM;;
11511921;1108248; 293555-002 HP 72.8-GB 10K FC-AL ; Description:5 x StorageWorks 72.8GB 10K Fibre Channel 40 pin 2GB/s HotSwap FCAL Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 238921-B21 Spare 244448-001 Assembly 293555-002 Model# BD07255B29 2-5-2 FE-19980-01;HP Enterprise;293555-002-5Pack;10K;Storageworks HDD;Fibre Channel;72.8GB;;HP/Compaq;USD, $324.75
560993;452059;  359461-002 HP 146.8-GB 10K FC-AL HDD; Description:StorageWorks 146.8GB 10K Fibre Channel 40 pin 2GB/s HotSwap FCAL Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 293556-B21 Spare 300590-001 Assembly 359461-002 2-5-2 FE-23518-01 Model# BD1465822C;HP Enterprise;359461-002;10K;Storageworks HDD;Fibre Channel;146.8GB;;HP/Compaq;USD, $95.95
898297;6625218; 364026-B21 HP HA F200 For Entry SAN,  Price 364026-B21 New 364026-B21 SAN Wholesale;Description:HA/F200 for Entry SAN Cluster   Option Part#  364026-B21  ;HP Enterprise;364026-B21;Cluster;Network Management Tools;F200;;;;
11754068;222681; DG0300FARVV HP 300-GB 6G  2.5 DP SAS HDD ; Description:300GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 507127-B21 Spare 507284-001 Assembly 518194-002 Model# DG0300FARVV;HP Enterprise;DG0300FARVV;10K;Proliant HardDrive;SAS;300GB;10000RPM;;USD, $125.95
15881889;7720913; 383359-001 DL585 (2P)  875 DC 2.2GHz 4GB ; Description:Proliant DL585 4U Rack Server2 x Dual Core Opteron 875 2.2GHz/1MB4GB PC3200 MemoryPart# 383359-001;HP Enterprise;383359-001;DL585R;Proliant Server;G1;;;;$911.65, USD
15214887;600420; , DH0146BALWN HP 146-GB 3G 15K 2.5 DP SAS HDD Price DH0146BALWN New DH0146BALWN HDD Wholesale;Description:146GB 2.5-inch Serial Attached SCSI (SAS)SFF 3G Dual Port Hot-Plug 15K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 504062-B21 Spare Part# 504334-001 Assembly Part# 504064-003 Model# DH0146BALWN ;HP Enterprise;DH0146BALWN;10K;Proliant HardDrive;SAS;146GB;15000RPM;;
9603647;4372321;  322309-001 40/80-GB DLT VS80 Int SCS,  Price 322309-001 SCS Wholesale ;Description:  40/80GB DLT VS80 Int SCSI/LVD   Option Part# 322309-001   ;HP Enterprise;322309-001;TapeDrive;Proliant;40/80GB;;;;
14209935;143592; 455543-001 HP 400-GB 10K 3.5 DP SAS HDD ; Description:400GB Serial Attached SCSI (SAS) 10K 3.5-inch Dual Port Hot-Plug Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 459508-B21 Spare 456896-001 Assembly 455543-001 Model# DD400B8541;HP Enterprise;455543-001;10K;Proliant HardDrive;SAS;400GB;10000RPM;Hewlett Packard;USD, $95.95
8054252;1249486; 536404-001 HP 460W HE Hot Plug AC Power Supply Kit,  Price 536404-001 New 536404-001 Kit Wholesale;Description:HP 460W High Efficiency Hot-Plug AC Power SupplyFor DL360 G6 DL360 G7 DL380 G6 DL380 G7 ML350 G6 ML370 G6 Proliant ServersPart Number(s) Option Part# 503296-B21 Spare Part# 499250-001 Spare Part# 511777-001 Spare Part# 536404-001 ;HP Enterprise;536404-001;Proliant Power Supply;Proliant;460Watt;;;;
4883603;495291; ST9600005SS Seagate  10K 2.5 6G DP SAS HDD,  Price ST9600005SS New ST9600005SS HDD Wholesale;Description:Seagate 600GB 10K 6G 2.5-inch (SFF) SAS  Dual Port Hot-Plug 64MB SAS Hard Drive with Secure Encryption (SED) FIPS 140-2Part Number(s) Seagate Part# ST9600005SS ;Seagate;ST9600005SS;10K;Seagate HardDrive;SAS SFF;600GB;10000RPM;Seagate;
12196786;457393; 518734-001 HP 450-GB  M6412 FATA ; Description: HP 450GB FATA 3.5-inch M6412 Enclosure Hard Drive 40 pin 4GB/s Hot-Plug Fibre Channel ATA (FATA) Genuine HPE Serial number and firmware Part Number(s) Option Part# AP731A AP731B Spare 518734-001 For use in Enclosures only StorageWorks EVA 4400/6400/8400 ;HP Enterprise;518734-001-10Pack;10K;Storageworks HDD;FCAL EVA;10 x 450GB;;HP/Compaq;CAD, $1,871.68 CAD
13472275;267367; 432094-B21 HP 146-GB 15K 3.5 SP SAS ; Description:5 x 146GB Serial Attached SCSI (SAS) 15K 3.5-inch Single Port Hot-Plug Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 375872-B21 Spare 376595-001 Alternate # 432094-B21 Assembly 443169-002 392254-003 375698-003 431943-003 Model# DF146A4941 DF146A9845 DF146A8B57 DF146ABAA9;HP Enterprise;432094-B21-5Pack;15K;Proliant HardDrive;SAS;146GB;15000RPM;Hewlett Packard;$397.40, USD
10038478;1710524;  462828-B21 HP P212/ZM SAS Controller; Description:HP Smart Array P212/Zero Memory SAS Controller1-port Interal / 1-port ExternalPart Number(s) Manufacturer Part# 462828-B21;HP Enterprise;462828-B21;Smart Array Controller;Proliant Option;P212 0MB;;;;$249.95, USD
5075318;5270201; , 336118-B21 PL BL40P X2.0GHz 1MB 512MB Price 336118-B21 512MB Wholesale 336118-B21;Description:  BL40P XEON 2.0GHz-1MB 512MB 1P   Manufacturer Part# 336118-B21  ;HP Enterprise;336118-B21;BL40;Proliant Server;;;;;
4423174;129213; ST373454SS Seagate  15K 3.5 3G SP SAS ; Description:2 x Seagate Cheetah 73GB 3.5-inch 3G Serial Attached SCSI (SAS) Single Port Hot-Plug 15K 8MB Hard DrivePart Number(s) Manufacturer Part# ST373454SS;Seagate;ST373454SS-2Pack;15K;Seagate HardDrive;SAS;73GB;15000RPM;Seagate;USD, $209.90
3775123;775288; 407661-B21 HP Opteron 2.6GHz 885 DL585,  Price 407661-B21-2Pack New 407661-B21 DL585 2 Pack Wholesale;Description:AMD Opteron 885 DL585 PC3200(2.6GHz/2-core/2MB)***Comes standard with the 012567-501 Processor/Memory Board***Part Number(s)Option Part# 407661-B21 ;HP Enterprise;407661-B21-2Pack;Opteron;Proliant Processor;2.6GHz;;;;
17453429;3770228;  HP VS80 40/80-GB Int LVD ; Description:HP VS80 DLT 40/80GB Internal LVDPart Number(s) Option Part# 280129-B21 Spare 280279-001 Assembly 288655-001;HP Enterprise;280129-B21;Tape Drive;Proliant;40/80GB;;;;$259.15, USD
15169700;133584; ST31000524NS Seagate 1-TB 7.2K 3.5 3G SATA HDD,  Price ST31000524NS  ST31000524NS HDD Wholesale;Description:Seagate Constellation ES 1TB Hot-Plug Serial ATA (SATA) NCQ 3.0GB/s 7200RPM 3.5-inch 32MB Hard DrivePart Number(s) Seagate Model# ST31000524NS ;Seagate;ST31000524NS;7.2K;Seagate HardDrive;SATA;1TB;7200RPM;Seagate;
68396;717678; 291967-B21 HP Smart Array 642  ; Description:Smart Array 642 Dual ChannelUltra320 PCI-X ControllerPart Number(s) Option Part# 291967-B21 ;HP Enterprise;291967-B21;SCSI PCI-X;Proliant Controller;642;;;;USD, $139.95
3982583;188820; 460850-002 HP 146-GB 3G 10K 2.5 DP SAS,  Price 460850-002-5Pack New 460850-002 SAS 5 Pack Wholesale;Description:5 x 146GB 2.5-inch Serial Attached SCSI (SAS) SFF 3G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 418367-B21 Spare Part# 418399-001 Assembly Part# 460850-002 Model# DG0146BABCF ;HP Enterprise;460850-002-5Pack;10K;Proliant HardDrive;SAS;146GB;10000RPM;;
12840459;8076999; 3X444 Dell 18-GB U320 SCSI HP 15K w/9D988,  w/9D988 10  Wholesale 3X444 Price 3X444-10;Description:10 x 18GB Ultra320 3.5-inch SCSI Hot-Plug 15K Dell Hard Drive in Dell 9D988 3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s)Manufacturer Part# 3X444 ;Dell;3X444-10Pack;15K;Dell HardDrive;Ultra320;18GB;15000RPM;Dell;
2652502;317797; DG146A4960 HP 146-GB 3G 10K 2.5 SP SAS HDD,  New DG146A4960 HDD Wholesale Price DG146A4960;Description:146GB 2.5-inch Serial Attached SCSI (SAS) SFF 3G Single Port Hot-Plug 10K Hard Drive Part Number(s) Option Part# 431958-B21 Spare Part# 432320-001 Assembly Part# 443177-002 Model# DG146A4960 ;HP Enterprise;DG146A4960;10K;Proliant HardDrive;SAS;146GB;;;
518130;628930; ST3300555SS Seagate  10K 3.5 3G SP SAS ; Description:2 x Seagate Cheetah 300GB 3.5-inch 3G Serial Attached SCSI (SAS) Single Port Hot-Plug 10K 16MB Hard DrivePart Number(s) Manufacturer Part# ST3300555SS;Seagate;ST3300555SS-2Pack;10K;Seagate HardDrive;SAS;300GB;10000RPM;Seagate;$228.15, USD
1339413;1919271; 510145-B21 HP AMD Opteron 2384 2.7GHz DL365 G5 ; Description:1 x HPE AMD Opteron 2384 DL365 G5(2.7GHz/4-core/2MB/75W)Full Processor Option KitPart Number(s)Option Part#510145-B21;HP Enterprise;510145-B21;Opteron;Proliant Processor;G5;;;;CAD, $423.74 CAD
11396112;9909665; 340851-001 HP ProLiant 12/24 ; Description:Proliant 12/24 EXT Autoloader DAT DDS-3Part Number(s) Option Part# 340851-001;HP Enterprise;340851-001;TapeDrive;Proliant;15/30GB;;;;$402.95, USD
3870095;1435117; 638317-B21 HP Xeon X5645 2.40GHz ML350 G6,  Price 638317-B21 New 638317-B21 G6 ;Description:HP Intel Xeon X5645 ML350 G6(2.40GHz/6-core/12MB/80W)Full Processor Option KitPart Number(s)Option Part# 638317-B21 ;HP Enterprise;638317-B21;Xeon;Proliant Processor;G6;;;;
1794676;13149799; HP 233125-001 110/220-GB SDLT Ldr for M ; Description:Drive : 110/220GB SDLT Low Voltage Differential/Single-Ended (LVD/SE) SCSI Tape Drive module - Includes a and fan inside Hot-Plug shoe (carrier) assemblyPart Number(s) Option Part# 233125-001;HP Enterprise;233125-001;Tape Drive;Proliant;110/220GB;;;;$353.35, USD
4659858;443981;  HP 300-GB 10K FC-AL HDD,  New  HDD Wholesale Price ;Description:StorageWorks 300GB 10K Fibre Channel 40 pin 2GB/s HotSwap FCAL Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 364622-B23 Spare Part# 366023-001 Assembly Part# 359438-010 Model# BD3005B779 ;HP Enterprise;359438-010;10K;Storageworks HDD;Fibre Channel;300GB;;HP/Compaq;
17238372;12092535; 458414-B21 HP E5430 2.66GHz  G5,  New 458414-B21 G5 Wholesale Price 458414-B21;Description:Intel Xeon E5430 ML370 G5 CPQ(2.66GHz/4-core/12MB/80W)Full Processor Option KitPart Number(s)Option Part# 458414-B21 ;HP Enterprise;458414-B21;Xeon;Proliant Processor;G5;;;;
17468367;724397; 359461-004 HP  10K FC-AL HDD,  Price 359461-004 New 359461-004 HDD Wholesale;Description:StorageWorks 36.4GB 10K Fibre Channel 40 pin 2GB/s HotSwap FCAL Hard DriveGenuine HPE serial number and firmwarePart Number(s) Option Part# 238590-B21 Spare Part# 240787-001 Assembly Part# 359461-004 Model# BD03659532 2-5-2 Part# FE-19979-01 ;HP Enterprise;359461-004;10K;Storageworks HDD;Fibre Channel;36.4GB;;HP/Compaq;
2739241;470533; 460850-001 HP 72-GB 3G 10K 2.5 DP SAS ; Description:10 x 72GB 2.5-inch Serial Attached SCSI (SAS) SFF Dual Port Hot-Plug 10K Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 384842-B21 Spare 389346-001 Assembly 460850-001 Model# DG072BABCE;HP Enterprise;460850-001-10Pack;10K;Proliant HardDrive;SAS;72GB;10000RPM;Hewlett Packard;$613.92, USD
3533687;105174; 537786-001 HP 1-TB 6G 7.2K  DP SAS HDD ; Description:1TB 6G Serial Attached SCSI (SAS) 7.2K3.5-inch Dual Port Hot-Plug Hard DriveIn HPE Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 507614-B21 Spare 508011-001 Assembly 461134-003 507613-001 537786-001 Model# MB1000FAMYU;HP Enterprise;537786-001;7.2K;Proliant HardDrive;SAS;1TB;7200RPM;Hewlett Packard;CAD, $189.74 CAD
2786371;10150524; H8868 Dell 36-GB 15K 3G 3.5 SP SAS w/F9541,  New H8868 w/F9541 2 Pack Wholesale Price H8868-2Pack;Description:2 x 36GB 15K 3G SAS 3.5-inch HD Single Port (SP) Hot-Plug Dell Hard Drive in Dell F9541 3.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s) Manufacturer Part# H8868 ;Dell;H8868-2Pack;15K;Dell HardDrive;SAS;36GB;15000RPM;Dell;
16799066;659440; 488156-002 HP MSA2 300-GB 15K 3.5 DP SAS  ; Description:Genuine HPE MSA2 300GB Serial Attached SCSI (SAS) 15K 3.5-inch 3G Hot-Plug Hard Drive in drive tray with interposer connector (as pictured )HP serial number and Genuine firmwarePart Number(s) Option Part# AJ736A Spare 480938-001 Assembly 488156-002 Model# ST3300656SS Note:For use only StorageWorks SystemsModular Smart Array 1040/2040/P2000 Systems only.;HP Enterprise;488156-002;15K;MSA 2 HardDrive;SAS MSA2;300GB;15000RPM;;USD, $325.95
